event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,event_VaR_T1,expected_MDD_T1,tail_prob_T1,risk_lo_T1,risk_hi_T1,event_VaR_T5,expected_MDD_T5,tail_prob_T5,risk_lo_T5,risk_hi_T5,event_VaR_T20,expected_MDD_T20,tail_prob_T20,risk_lo_T20,risk_hi_T20,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0593,0.062,0.4583,0.9167,-3.4248,0.4583,True,+,+,False,,,,,,0.35066,0.0,0.05,0.3432,0.44179,0.0,0.06203,0.0,0.05,0.05804,0.10412,0.35066,0.0,0.05,0.3432,0.44179,1.0597,0.0,0.05,1.04574,1.24129,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0136,0.0214,0.625,0.875,4.618,0.5833,False,+,+,False,,,,,,-0.01849,0.01307,0.05,-0.02547,0.07496,0.0,-0.0238,0.00647,0.05,-0.0281,0.02154,-0.01849,0.01307,0.05,-0.02547,0.07496,-0.06844,0.05105,0.05,-0.08186,0.11639,False,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0148,0.0233,0.5,0.9167,1.2779,0.5,False,+,+,False,,,,,,-0.01855,0.01172,0.05,-0.02581,0.078,0.0,-0.01857,0.00425,0.05,-0.0225,0.02284,-0.01855,0.01172,0.05,-0.02581,0.078,-0.0374,0.03814,0.05,-0.05232,0.1558,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.012,0.0176,0.625,0.7917,4.5577,0.5833,False,+,+,False,,,,,,-0.01439,0.01006,0.05,-0.01943,0.06091,0.0,-0.01551,0.00393,0.05,-0.01849,0.01594,-0.01439,0.01006,0.05,-0.01943,0.06091,-0.04488,0.03657,0.05,-0.05457,0.09907,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0166,0.0264,0.625,0.75,-2.2589,0.5417,False,+,+,False,,,,,,-0.01992,0.01241,0.05,-0.02731,0.07932,0.0,-0.01985,0.00457,0.05,-0.02402,0.0242,-0.01992,0.01241,0.05,-0.02731,0.07932,-0.08289,0.05777,0.05,-0.09719,0.11156,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0155,0.0248,0.5833,0.7917,-0.2225,0.5833,False,+,+,False,,,,,,-0.01019,0.00941,0.05,-0.01674,0.0814,0.0,-0.01434,0.00268,0.05,-0.01809,0.0253,-0.01019,0.00941,0.05,-0.01674,0.0814,-0.05497,0.04739,0.05,-0.06865,0.12402,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0139,0.018,0.625,0.875,2.9892,0.5833,False,+,+,False,,,,,,-0.01928,0.01321,0.05,-0.02957,0.09737,0.0,-0.01897,0.00383,0.05,-0.02351,0.02898,-0.01928,0.01321,0.05,-0.02957,0.09737,-0.07918,0.05929,0.05,-0.09601,0.13694,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0192,0.0239,0.5833,0.75,3.877,0.5417,False,+,+,False,,,,,,-0.03024,0.01766,0.05,-0.04249,0.09695,0.0,-0.02696,0.00566,0.05,-0.03316,0.03849,-0.03024,0.01766,0.05,-0.04249,0.09695,-0.14704,0.09446,0.05,-0.1674,0.1009,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0187,0.0229,0.4167,0.875,-6.2685,0.375,False,+,+,False,,,,,,-0.04607,0.02305,0.05,-0.05662,0.09077,0.0,-0.02723,0.00609,0.05,-0.03311,0.03483,-0.04607,0.02305,0.05,-0.05662,0.09077,-0.12231,0.08112,0.05,-0.14401,0.16689,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0154,0.0195,0.5417,0.7083,-0.6176,0.5,False,+,,False,,,,,,-0.01101,0.00991,0.05,-0.018,0.08061,0.0,-0.01767,0.00392,0.05,-0.02152,0.02295,-0.01101,0.00991,0.05,-0.018,0.08061,-0.0603,0.04877,0.05,-0.07437,0.12148,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0217,0.0254,0.5,0.7083,0.883,0.5,False,+,,False,,,,,,-0.03111,0.01739,0.05,-0.04008,0.08302,0.0,-0.02678,0.00723,0.05,-0.03164,0.02453,-0.03111,0.01739,0.05,-0.04008,0.08302,-0.13649,0.08527,0.05,-0.15368,0.09088,False,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0198,0.0231,0.5833,0.7917,-0.2828,0.5417,False,+,+,False,,,,,,-0.03162,0.01806,0.05,-0.04366,0.10718,0.0,-0.02897,0.00597,0.05,-0.03576,0.04274,-0.03162,0.01806,0.05,-0.04366,0.10718,-0.1056,0.07292,0.05,-0.12194,0.15338,True,False,True,True
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801780,0.006871,+,+,True,0.0143,0.0184,0.375,0.75,-7.1142,0.3333,False,+,,False,,,,,,-0.02813,0.0149,0.05,-0.03559,0.06701,0.0,-0.02345,0.00705,0.05,-0.02733,0.01747,-0.02813,0.0149,0.05,-0.03559,0.06701,-0.13407,0.09289,0.05,-0.14939,0.05548,True,False,False,True
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801790,-0.008571,-,+,False,0.0163,0.0217,0.5,0.9167,-1.6139,0.4583,False,+,,False,,,,,,-0.03746,0.02144,0.05,-0.04895,0.1137,0.0,-0.03545,0.00994,0.05,-0.04168,0.03024,-0.03746,0.02144,0.05,-0.04895,0.1137,-0.16478,0.1046,0.05,-0.18793,0.13105,True,False,False,False
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801180,-0.008969,-,-,True,0.0184,0.0231,0.625,0.9167,2.9696,0.625,False,+,+,False,,,,,,-0.12276,0.06102,0.05,-0.13662,0.04235,0.0,-0.0527,0.02089,0.1325,-0.05957,0.01981,-0.12276,0.06102,0.05,-0.13662,0.04235,-0.40292,0.26617,0.05,-0.43023,-0.07661,True,True,True,True
