event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,event_VaR_T1,expected_MDD_T1,tail_prob_T1,risk_lo_T1,risk_hi_T1,event_VaR_T5,expected_MDD_T5,tail_prob_T5,risk_lo_T5,risk_hi_T5,event_VaR_T20,expected_MDD_T20,tail_prob_T20,risk_lo_T20,risk_hi_T20,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0108,0.0175,0.4167,0.875,-4.3976,0.3333,False,+,+,False,,,,,,-0.0051,0.00694,0.05,-0.0099,0.06404,0.0,-0.01126,0.00206,0.05,-0.0143,0.02076,-0.0051,0.00694,0.05,-0.0099,0.06404,-0.02306,0.0292,0.05,-0.03259,0.11322,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0138,0.0221,0.5417,0.8333,1.7466,0.5,False,+,+,False,,,,,,-0.01758,0.0124,0.05,-0.02538,0.08476,0.0,-0.025,0.00636,0.05,-0.02979,0.02555,-0.01758,0.0124,0.05,-0.02538,0.08476,-0.06696,0.04946,0.05,-0.08128,0.12369,False,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0419,0.0474,0.4583,0.9167,-3.0413,0.4583,True,+,+,False,,,,,,0.21371,0.0,0.05,0.2052,0.32323,0.0,0.02947,0.0,0.05,0.02493,0.07738,0.21371,0.0,0.05,0.2052,0.32323,0.67192,0.00059,0.05,0.65264,0.88969,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0122,0.018,0.5833,0.8333,-0.4378,0.5417,False,+,+,False,,,,,,-0.00575,0.00678,0.05,-0.01088,0.06629,0.0,-0.01334,0.00293,0.05,-0.01628,0.01766,-0.00575,0.00678,0.05,-0.01088,0.06629,-0.03057,0.0343,0.05,-0.04006,0.11079,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.017,0.0262,0.7083,0.75,3.9159,0.5833,False,+,,False,,,,,,-0.02924,0.01497,0.05,-0.03671,0.06562,0.0,-0.0218,0.00585,0.05,-0.02578,0.02022,-0.02924,0.01497,0.05,-0.03671,0.06562,-0.11049,0.06845,0.05,-0.12533,0.08055,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0145,0.0247,0.7083,0.8333,2.6341,0.7083,False,+,+,False,,,,,,-0.00055,0.0078,0.05,-0.00848,0.10156,0.0,-0.01431,0.00242,0.05,-0.01858,0.03069,-0.00055,0.0078,0.05,-0.00848,0.10156,-0.00898,0.03611,0.05,-0.02535,0.18897,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0144,0.0184,0.625,0.75,2.9892,0.5833,False,+,+,False,,,,,,-0.02095,0.01376,0.05,-0.03057,0.09717,0.0,-0.02139,0.0048,0.05,-0.02599,0.0272,-0.02095,0.01376,0.05,-0.03057,0.09717,-0.0572,0.04868,0.05,-0.07255,0.1464,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0199,0.0243,0.5833,0.7917,2.6202,0.5833,False,+,+,False,,,,,,-0.02115,0.01527,0.05,-0.03452,0.11677,0.0,-0.02365,0.00463,0.05,-0.02952,0.03828,-0.02115,0.01527,0.05,-0.03452,0.11677,-0.12698,0.08828,0.05,-0.14997,0.13796,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0183,0.022,0.4583,0.9583,-1.5513,0.4583,False,+,+,False,,,,,,-0.04739,0.02429,0.05,-0.06069,0.10627,0.0,-0.03093,0.00706,0.05,-0.03748,0.03821,-0.04739,0.02429,0.05,-0.06069,0.10627,-0.13574,0.08835,0.05,-0.15916,0.18735,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0155,0.0194,0.5,0.7083,-1.5009,0.4583,False,+,+,False,,,,,,-0.02571,0.01494,0.05,-0.03263,0.06573,0.0,-0.02105,0.00568,0.05,-0.02487,0.01932,-0.02571,0.01494,0.05,-0.03263,0.06573,-0.099,0.06717,0.05,-0.11294,0.08081,False,False,False,True
