event_date,event_type,industry_code,real_dir,final_dir,prob_up,confidence,abstain,dir_correct,committed_dir_correct,real_CAR
2020-01-01,monetary_policy,801780,-,+,0.531858961611417,0.06371792322283398,True,False,False,-0.010662
2020-01-01,monetary_policy,801790,-,+,0.7134993110414125,0.426998622082825,False,False,False,-0.019126
2020-01-01,monetary_policy,801180,-,+,0.6074292792427815,0.2148585584855629,False,False,False,-0.010388
2020-02-03,monetary_policy,801780,-,-,0.12280516960752845,0.7543896607849431,False,True,True,-0.026806
2020-02-03,monetary_policy,801790,-,-,0.4219059818403615,0.15618803631927702,False,True,True,-0.027079
2020-02-03,monetary_policy,801180,-,-,0.2205900641587084,0.5588198716825832,False,True,True,-0.02662
2020-02-17,monetary_policy,801780,-,-,0.05798459600607048,0.884030807987859,False,True,True,-0.032234
2020-02-17,monetary_policy,801790,+,-,0.12825795285062722,0.7434840942987455,False,False,False,0.020116
2020-02-17,monetary_policy,801180,-,-,0.06453348133924496,0.8709330373215101,False,True,True,-0.046862
2020-02-20,monetary_policy,801780,-,-,0.1084409574864619,0.7831180850270762,False,True,True,-0.012185
2020-02-20,monetary_policy,801790,+,-,0.203625395606007,0.592749208787986,False,False,False,0.0052
2020-02-20,monetary_policy,801180,-,-,0.12192474687202462,0.7561505062559508,False,True,True,-0.008532
2020-03-13,monetary_policy,801780,+,-,0.35083458966477576,0.29833082067044847,False,False,False,0.006871
2020-03-13,monetary_policy,801790,-,+,0.5815073057469631,0.16301461149392615,True,False,False,-0.008571
2020-03-13,monetary_policy,801180,-,+,0.5488988492572231,0.0977976985144462,True,False,False,-0.008969
2020-03-30,monetary_policy,801790,-,-,0.10563060257396012,0.7887387948520798,False,True,True,-0.018241
2020-03-30,monetary_policy,801180,-,-,0.13007447035934183,0.7398510592813163,False,True,True,-0.01619
2020-03-30,monetary_policy,801780,-,-,0.0959631032725493,0.8080737934549014,False,True,True,-0.027682
2020-04-03,monetary_policy,801780,-,-,0.012568608198363057,0.9748627836032739,False,True,True,-0.013809
2020-04-03,monetary_policy,801790,-,-,0.05513384455498439,0.8897323108900312,False,True,True,-0.011272
2020-04-03,monetary_policy,801180,-,-,0.0124947425266142,0.9750105149467716,False,True,True,-0.004635
2020-04-15,monetary_policy,801780,-,-,0.2439021760611778,0.5121956478776444,False,True,True,-0.011559
2020-04-15,monetary_policy,801790,-,-,0.2863689761717421,0.42726204765651576,False,True,True,-0.004653
2020-04-15,monetary_policy,801180,-,-,0.24422383869978542,0.5115523226004292,False,True,True,-0.017715
2020-04-20,monetary_policy,801180,-,-,0.4952156002149702,0.009568799570059627,True,True,False,-0.007232
2020-04-20,monetary_policy,801710,+,-,0.41355923551637197,0.17288152896725606,True,False,False,0.019768
2020-04-20,monetary_policy,801790,-,-,0.4708581340448106,0.05828373191037883,True,True,False,-0.022017
2020-04-20,monetary_policy,801780,+,+,0.5093618846134731,0.018723769226946185,True,True,False,0.007995
2020-06-12,capital_market_policy,801790,-,-,0.4023528873976441,0.19529422520471185,False,True,True,-0.006679
2020-06-12,capital_market_policy,801780,-,-,0.42527123482062434,0.1494575303587513,False,True,True,-0.032675
2020-06-12,capital_market_policy,801750,-,-,0.2254892888987304,0.5490214222025391,False,True,True,-0.0005
2020-08-04,industry_policy,801080,-,-,0.21140209263449453,0.577195814731011,False,True,True,-0.036086
2020-08-04,industry_policy,801750,-,-,0.24907258116363692,0.5018548376727261,False,True,True,-0.026273
2020-08-04,industry_policy,801770,-,-,0.3222951644524112,0.3554096710951776,False,True,True,-0.023326
2020-08-17,geopolitical,801770,-,-,0.25499299047461793,0.49001401905076414,False,True,True,-0.010742
2020-08-17,geopolitical,801890,+,-,0.1877152296073234,0.6245695407853532,False,False,False,0.009132
2020-08-17,geopolitical,801750,-,-,0.21994596574988734,0.5601080685002253,False,True,True,-0.005062
2020-08-17,geopolitical,801880,-,-,0.18355893005006085,0.6328821398998783,False,True,True,-0.002362
2020-08-17,geopolitical,801110,-,+,0.7604217740650862,0.5208435481301723,False,False,False,-0.023078
2020-08-17,geopolitical,801080,+,+,0.7542958821296312,0.5085917642592623,False,True,True,0.001334
2020-09-22,industry_policy,801730,+,+,0.5050765774097056,0.010153154819411148,True,True,False,0.009221
2020-09-22,industry_policy,801160,-,-,0.4493992901884189,0.1012014196231622,True,True,False,-0.02192
2020-09-22,industry_policy,801050,-,-,0.4977507231573184,0.004498553685363227,True,True,False,-0.044047
2020-09-22,industry_policy,801770,-,-,0.4063610407087982,0.1872779185824036,True,True,False,-0.026561
2020-11-05,industry_policy,801150,-,-,0.41617629468383815,0.1676474106323237,True,True,False,-0.04837
2020-11-10,industry_policy,801750,-,-,0.41648166751746646,0.16703666496506708,True,True,False,-0.033221
2020-11-10,industry_policy,801760,-,-,0.3572327574275485,0.285534485144903,False,True,True,-0.026394
2020-12-18,geopolitical,801080,+,-,0.2315671173906358,0.5368657652187284,False,False,False,0.004487
2020-12-18,geopolitical,801880,+,-,0.22192551385524018,0.5561489722895196,False,False,False,0.010864
2020-12-18,geopolitical,801110,+,-,0.17054040732838333,0.6589191853432333,False,False,False,0.005345
