event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0319,0.0355,0.4583,0.9167,-3.4248,0.4583,False,+,+,False,,,,,,-0.09733,0.0,0.05,-0.09733,0.12911,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0246,0.0323,0.5833,0.8333,-2.3825,0.5833,False,+,+,False,,,,,,-0.09364,0.0,0.05,-0.09364,0.15475,0.0,True,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0145,0.0228,0.4583,0.9167,0.7464,0.4583,False,+,+,False,,,,,,-0.09236,0.00274,0.05,-0.09236,0.12633,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0415,0.0467,0.5417,0.875,-0.4482,0.5417,True,+,+,False,,,,,,-0.09514,0.0,0.05,-0.09514,0.13398,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0203,0.0288,0.5833,0.7917,1.1705,0.5833,False,+,+,False,,,,,,-0.12278,0.0,0.05,-0.12278,0.15868,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0153,0.0248,0.5417,0.875,-2.1756,0.5,False,+,+,False,,,,,,-0.12667,0.0,0.05,-0.12667,0.17526,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0289,0.0323,0.375,0.9167,-4.9756,0.375,False,+,+,False,,,,,,-0.12219,0.0,0.05,-0.12219,0.18382,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0253,0.0288,0.3333,0.875,-4.6298,0.3333,False,+,+,False,,,,,,-0.14825,0.0,0.05,-0.14825,0.21671,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0179,0.0217,0.3333,0.9583,-6.2224,0.3333,False,+,+,False,,,,,,-0.19005,0.00468,0.05,-0.19005,0.21438,0.0,False,False,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0457,0.0497,0.4167,0.8333,-3.6525,0.4167,True,+,+,False,,,,,,-0.09108,0.0,0.05,-0.09108,0.16587,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.029,0.0346,0.375,0.7083,-3.0085,0.375,False,+,+,False,,,,,,-0.12999,0.0,0.05,-0.12999,0.1914,0.0,True,True,True,True
