event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0192,0.5417,0.7083,-0.6176,0.5,False,+,,False,-0.08374,0.0,0.05,-0.08374,0.1349,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0224,0.0255,0.5,0.7083,3.1721,0.4583,False,+,+,False,-0.11586,0.0,0.05,-0.11586,0.18111,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0211,0.0243,0.4583,0.8333,-1.6753,0.4583,False,+,,False,-0.13536,0.0,0.05,-0.13536,0.19417,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0218,0.0246,0.375,1.0,-0.2636,0.375,False,+,+,False,-0.1654,0.0,0.05,-0.1654,0.17562,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0226,0.0272,0.4583,1.0,-2.6221,0.4583,False,+,+,False,-0.18889,0.0,0.05,-0.18889,0.21321,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0252,0.0282,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.19037,0.0,0.05,-0.19037,0.20472,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0305,0.0358,0.5833,0.9583,0.6645,0.5833,False,+,+,False,-0.19434,0.0,0.05,-0.19434,0.27125,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0247,0.0297,0.625,0.9167,2.7244,0.625,False,+,+,False,-0.19258,0.0,0.05,-0.19258,0.32791,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0284,0.0318,0.375,1.0,-3.6698,0.375,False,+,+,False,-0.13886,0.0,0.05,-0.13886,0.21634,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0276,0.0323,0.375,1.0,-1.9226,0.375,True,+,+,False,-0.2849,0.0,0.05,-0.2849,0.33622,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,-,True,0.0104,0.0144,0.6667,1.0,3.755,0.625,False,+,+,False,-0.27448,0.00727,0.05,-0.27448,0.27211,0.0,False,False,True,False
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0267,0.0309,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07638,0.19166,0.05,-0.07638,0.06845,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,-,True,0.0312,0.0332,0.5,1.0,-1.4117,0.5,False,-,-,False,-0.21078,0.21293,0.05,-0.21078,0.17664,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,0.004962,+,-,False,0.0301,0.0331,0.4583,1.0,-1.7618,0.4583,False,+,-,True,-0.12535,0.20081,0.05,-0.12535,0.11545,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,-0.022505,-,-,True,0.0324,0.036,0.5,0.9583,-3.8618,0.5,False,-,-,False,-0.18387,0.19655,0.05,-0.18387,0.17563,0.0,False,False,False,False
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,-0.006363,-,-,True,0.0187,0.0206,0.5,1.0,-3.1358,0.4583,False,+,+,False,-0.11724,0.10492,0.05,-0.11724,0.11963,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,-0.007883,-,-,True,0.0076,0.0099,0.5417,0.9583,0.6182,0.5,False,-,+,True,-0.10897,0.02713,0.05,-0.10897,0.09131,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801780,0.029385,+,-,False,0.017,0.0208,0.5833,0.7917,-0.2151,0.5833,False,-,+,True,-0.08608,0.11741,0.05,-0.08608,0.07271,0.0,False,False,False,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801790,0.003165,+,-,False,0.0128,0.0166,0.4583,0.7083,-4.3078,0.4583,False,+,+,False,-0.07666,0.0013,0.05,-0.07666,0.0903,0.0,False,False,True,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801180,-0.020592,-,-,True,0.0305,0.0349,0.5417,0.875,2.0384,0.5417,False,-,+,True,-0.13346,0.23005,0.05,-0.13346,0.12636,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801710,-0.040695,-,-,True,0.0147,0.0182,0.4167,1.0,-0.2021,0.4167,False,-,+,True,-0.23403,0.02939,0.05,-0.23403,0.19506,0.0,True,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801780,0.025073,+,-,False,0.0111,0.0153,0.6667,0.9583,3.5534,0.6667,False,-,+,True,-0.18992,0.03773,0.05,-0.18992,0.17633,0.0,False,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801790,0.004824,+,+,True,0.0254,0.0309,0.5,0.875,-3.4782,0.5,False,-,+,True,-0.1897,0.0,0.05,-0.1897,0.15303,0.0,True,False,False,False
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801180,-0.011641,-,-,True,0.0275,0.0356,0.5417,1.0,2.3734,0.5417,False,-,+,True,-0.35043,0.18187,0.05,-0.35043,0.32443,0.0,False,False,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801180,-0.046473,-,-,True,0.027,0.0315,0.5833,1.0,1.9315,0.5833,False,-,+,True,-0.46409,0.22788,0.05,-0.46409,0.38579,0.0,True,True,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801710,-0.003947,-,-,True,0.0115,0.0149,0.5417,1.0,-1.0395,0.5,False,-,+,True,-0.2762,0.01927,0.05,-0.2762,0.26427,0.0,False,True,False,False
