event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0192,0.5417,0.7083,-0.6176,0.5,False,+,,False,-0.08374,0.0,0.05,-0.08374,0.1349,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0364,0.0438,0.375,0.7083,-3.0085,0.375,False,+,+,False,-0.12542,0.0,0.05,-0.12542,0.18729,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0211,0.0243,0.4583,0.8333,-1.6753,0.4583,False,+,,False,-0.13536,0.0,0.05,-0.13536,0.19417,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.013,0.0155,0.4167,1.0,0.0971,0.4167,False,+,+,False,-0.14637,0.0,0.05,-0.14637,0.15599,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0311,0.0349,0.4583,1.0,-2.6221,0.4583,True,+,+,False,-0.18892,0.0,0.05,-0.18892,0.2133,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.028,0.0308,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.18502,0.0,0.05,-0.18502,0.19907,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0363,0.0422,0.5833,0.9583,0.6645,0.5833,True,+,+,False,-0.19063,0.0,0.05,-0.19063,0.26761,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0573,0.0639,0.625,0.9167,2.7244,0.625,True,+,+,False,-0.20763,0.0,0.05,-0.20763,0.34405,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0394,0.0424,0.375,1.0,-3.6698,0.375,True,+,+,False,-0.16446,0.0,0.05,-0.16446,0.24255,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0591,0.0633,0.375,1.0,-1.9226,0.375,True,+,+,False,-0.28035,0.0,0.05,-0.28035,0.33132,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,+,False,0.0337,0.0374,0.375,1.0,-4.3119,0.375,True,+,+,False,-0.32893,0.0,0.05,-0.32893,0.32732,0.0,False,False,False,True
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0432,0.0462,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07626,0.30517,0.05,-0.07626,0.06856,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,-,True,0.0527,0.0548,0.5,1.0,-1.4117,0.5,True,-,-,False,-0.21082,0.35979,0.05,-0.21082,0.17664,0.0,False,False,False,False
