event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0122,0.0188,0.5417,0.7917,-3.3164,0.5,False,+,,False,False,0.6,-0.06042,0.0,0.05,-0.06042,0.09791,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0135,0.0217,0.625,0.875,2.4401,0.5833,False,+,,False,False,0.6,-0.09971,0.00172,0.05,-0.09971,0.1405,0.0,False,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0149,0.0235,0.4167,0.875,-0.1393,0.375,False,+,,False,False,0.6,-0.09971,0.00086,0.05,-0.09971,0.13352,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0124,0.0182,0.5417,0.875,-1.8944,0.5417,False,+,+,False,False,0.6,-0.08567,0.0,0.05,-0.08567,0.10572,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0154,0.0257,0.6667,0.7917,-0.9992,0.5417,False,+,+,False,False,0.6,-0.13493,0.0,0.05,-0.13493,0.16785,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0158,0.0241,0.5417,0.8333,3.0775,0.5,False,+,,False,False,0.6,-0.09971,0.00489,0.05,-0.09971,0.13711,0.0,True,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0157,0.0198,0.4583,0.9167,-2.764,0.4167,False,+,+,False,False,0.6,-0.13403,0.0,0.05,-0.13403,0.17481,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.02,0.0242,0.4583,0.875,-1.243,0.4167,False,+,+,False,False,0.6,-0.15426,0.0,0.05,-0.15426,0.21113,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.019,0.0235,0.4167,0.9167,-5.5405,0.4167,False,+,+,False,False,0.6,-0.18588,0.0,0.05,-0.18588,0.23488,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0189,0.5417,0.8333,-0.8515,0.5,False,+,,False,False,0.6,-0.0944,0.00528,0.05,-0.0944,0.14141,0.0,False,False,False,True
