event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0107,0.0173,0.4583,0.875,-5.4332,0.2917,False,+,+,False,True,0.6,,,,-0.06853,0.00064,0.05,-0.06853,0.10558,0.0,False,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0136,0.0214,0.5833,0.875,1.6046,0.5417,False,+,,False,True,0.6,,,,-0.09971,0.00412,0.05,-0.09971,0.1405,0.0,False,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0143,0.023,0.5,0.9167,1.3432,0.5,False,+,+,False,True,0.6,,,,-0.11209,0.00272,0.05,-0.11209,0.14724,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0113,0.0172,0.6667,0.875,4.3527,0.5833,False,+,+,False,True,0.6,,,,-0.10259,0.0021,0.05,-0.10259,0.12211,0.0,True,False,False,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0165,0.0255,0.75,0.7917,4.6718,0.625,False,+,+,False,True,0.6,,,,-0.13027,0.00452,0.05,-0.13027,0.16321,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0154,0.024,0.5,0.8333,2.7241,0.5,False,+,+,False,True,0.6,,,,-0.1083,0.0012,0.05,-0.1083,0.14545,0.0,True,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.014,0.0184,0.5833,0.875,1.2967,0.5417,False,+,+,False,True,0.6,,,,-0.11765,0.00169,0.05,-0.11765,0.15975,0.0,False,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0191,0.0238,0.5,0.7083,0.1798,0.5,False,+,,False,True,0.6,,,,-0.13683,0.0,0.05,-0.13683,0.20392,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0184,0.0229,0.4167,0.9167,-5.0167,0.4167,False,+,,False,True,0.6,,,,-0.16511,0.00325,0.05,-0.16511,0.21238,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0154,0.0193,0.5417,0.8333,-0.9948,0.5,False,+,,False,True,0.6,,,,-0.0944,0.00157,0.05,-0.0944,0.14141,0.0,False,False,False,False
