event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0324,0.0362,0.4583,0.9167,-3.4248,0.4583,False,+,+,False,,,,,,-0.0878,0.0,0.05,-0.0878,0.12248,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0135,0.0217,0.625,0.875,2.4401,0.5833,False,+,+,False,,,,,,-0.09973,0.00213,0.05,-0.09973,0.1405,0.0,False,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0146,0.0231,0.4583,0.875,0.714,0.4583,False,+,,False,,,,,,-0.09971,0.00326,0.05,-0.09971,0.13352,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0113,0.0172,0.6667,0.875,4.3527,0.5833,False,+,,False,,,,,,-0.0774,0.00209,0.05,-0.0774,0.09755,0.0,True,False,False,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0155,0.0258,0.6667,0.7917,-0.7774,0.5833,False,+,+,False,,,,,,-0.11034,0.0,0.05,-0.11034,0.14274,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0383,0.0473,0.7083,0.875,1.8787,0.7083,True,+,+,False,,,,,,-0.13729,0.0,0.05,-0.13729,0.17291,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0154,0.0197,0.4583,0.875,-2.764,0.4167,False,+,+,False,,,,,,-0.11765,0.0,0.05,-0.11765,0.15975,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0436,0.0489,0.375,0.875,-2.3403,0.375,False,+,+,False,,,,,,-0.15317,0.0,0.05,-0.15317,0.2097,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0293,0.0328,0.4167,0.9167,-3.5664,0.4167,False,+,+,False,,,,,,-0.16503,0.0,0.05,-0.16503,0.21158,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0154,0.0193,0.5417,0.8333,-0.9948,0.5,False,+,+,False,,,,,,-0.10332,0.00157,0.05,-0.10332,0.15069,0.0,False,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0214,0.025,0.5417,0.7083,3.4066,0.5,False,+,+,False,,,,,,-0.12456,0.0,0.05,-0.12456,0.1783,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,-,True,0.0189,0.0235,0.5417,0.75,-0.0924,0.5,False,+,+,False,,,,,,-0.13813,0.02221,0.05,-0.13813,0.16903,0.0,False,True,False,False
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801780,0.006871,+,-,False,0.0311,0.0353,0.625,0.9167,2.3361,0.625,False,+,+,False,,,,,,-0.13981,0.211,0.05,-0.13981,0.16874,0.0,True,True,True,True
