event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0546,0.0583,0.4167,0.8333,-3.6525,0.4167,True,+,+,False,-0.10577,0.0,0.05,-0.10577,0.15083,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0457,0.0522,0.375,0.7083,-3.0085,0.375,True,+,+,False,-0.13086,0.0,0.05,-0.13086,0.18862,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.048,0.0533,0.4167,0.8333,-3.0128,0.4167,True,+,+,False,-0.13916,0.0,0.05,-0.13916,0.2025,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0426,0.0448,0.375,1.0,-0.2636,0.375,True,+,+,False,-0.16288,0.0,0.05,-0.16288,0.17316,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0311,0.0349,0.4583,1.0,-2.6221,0.4583,True,+,+,False,-0.19118,0.0,0.05,-0.19118,0.21549,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0431,0.0455,0.5,1.0,-1.0829,0.5,True,+,+,False,-0.18762,0.0,0.05,-0.18762,0.20249,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.034,0.0397,0.5833,0.9583,0.6645,0.5833,False,+,+,False,-0.19242,0.0,0.05,-0.19242,0.2694,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0462,0.0526,0.625,0.9583,2.7244,0.625,True,+,+,False,-0.21053,0.0,0.05,-0.21053,0.34592,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0115,0.0142,0.3333,1.0,-6.8708,0.3333,False,+,+,False,-0.16436,0.0,0.05,-0.16436,0.24384,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0197,0.0237,0.375,1.0,-1.9226,0.375,False,+,+,False,-0.28531,0.0,0.05,-0.28531,0.33709,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,+,False,0.0139,0.0172,0.5833,1.0,1.9628,0.5833,False,+,+,False,-0.31856,0.0,0.05,-0.31856,0.32636,0.0,False,False,False,True
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0324,0.0361,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07561,0.23122,0.05,-0.07561,0.06794,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,+,False,0.0381,0.0399,0.5,1.0,0.8588,0.5,False,-,+,True,-0.2019,0.0,0.05,-0.2019,0.17006,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,0.004962,+,+,True,0.0422,0.0437,0.5417,1.0,1.2986,0.5417,True,+,+,False,-0.12434,0.0,0.05,-0.12434,0.1198,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,-0.022505,-,+,False,0.0397,0.0431,0.5,0.9583,3.5438,0.4583,True,-,+,True,-0.18417,0.0,0.05,-0.18417,0.17388,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,-0.006363,-,-,True,0.0377,0.0394,0.5,1.0,-3.1358,0.4583,False,+,+,False,-0.11764,0.24024,0.05,-0.11764,0.11926,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,-0.007883,-,-,True,0.0083,0.0108,0.5,0.9583,1.047,0.5,False,-,+,True,-0.10918,0.0446,0.05,-0.10918,0.09125,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801780,0.029385,+,-,False,0.037,0.0405,0.5833,0.7917,-0.2151,0.5833,True,-,+,True,-0.0862,0.26302,0.05,-0.0862,0.07291,0.0,False,False,False,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801790,0.003165,+,-,False,0.0126,0.0163,0.5,0.75,-1.2008,0.5,False,+,+,False,-0.08863,0.01555,0.05,-0.08863,0.10212,0.0,False,False,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801180,-0.020592,-,-,True,0.042,0.0458,0.5417,0.875,2.0384,0.5417,True,-,+,True,-0.13217,0.30974,0.05,-0.13217,0.12477,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801710,-0.040695,-,-,True,0.0147,0.018,0.4167,1.0,-0.8361,0.4167,False,-,+,True,-0.23418,0.03204,0.05,-0.23418,0.19502,0.0,True,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801780,0.025073,+,-,False,0.0132,0.0171,0.6667,0.9583,3.5534,0.6667,False,-,+,True,-0.1918,0.08221,0.05,-0.1918,0.17021,0.0,False,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801790,0.004824,+,+,True,0.0307,0.0363,0.5,0.875,-3.4782,0.5,False,-,+,True,-0.18791,0.0,0.05,-0.18791,0.15135,0.0,True,False,False,False
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801180,-0.011641,-,-,True,0.0361,0.0438,0.5417,1.0,2.3734,0.5417,False,-,+,True,-0.35042,0.26518,0.05,-0.35042,0.32446,0.0,False,False,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801180,-0.046473,-,-,True,0.0378,0.0413,0.5833,1.0,1.9315,0.5833,True,-,+,True,-0.46411,0.30141,0.05,-0.46411,0.38582,0.0,True,True,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801710,-0.003947,-,-,True,0.0115,0.015,0.5,1.0,-1.4359,0.4583,False,-,+,True,-0.27601,0.02157,0.05,-0.27601,0.26401,0.0,False,True,False,False
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801780,0.005133,+,+,True,0.0397,0.0419,0.5,1.0,0.6381,0.5,True,-,+,True,-0.13189,0.0,0.05,-0.13189,0.10478,0.0,False,False,True,True
