event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0107,0.0173,0.5,0.8333,-3.2022,0.4167,False,+,,False,-0.05949,0.00046,0.05,-0.05949,0.09684,0.0,False,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0311,0.0375,0.5833,0.9167,-2.3825,0.5833,False,+,+,False,-0.11689,0.0,0.05,-0.11689,0.1601,0.0,True,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0177,0.027,0.4583,0.9167,-3.0413,0.4583,False,+,+,False,-0.09432,0.0,0.05,-0.09432,0.12501,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0136,0.0194,0.5,0.8333,-1.9512,0.5,False,+,+,False,-0.06739,0.0,0.05,-0.06739,0.11462,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0156,0.0271,0.6667,0.7917,-0.7774,0.5833,False,+,+,False,-0.09209,0.0,0.05,-0.09209,0.14686,0.0,False,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0153,0.0242,0.5,0.8333,-0.6843,0.5,False,+,,False,-0.09382,0.0,0.05,-0.09382,0.14034,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0145,0.0187,0.5833,0.7917,1.2967,0.5417,False,+,,False,-0.10038,0.00155,0.05,-0.10038,0.15662,0.0,False,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0329,0.038,0.375,0.875,-2.3403,0.375,False,+,+,False,-0.14053,0.0,0.05,-0.14053,0.20216,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0263,0.0291,0.4167,0.9167,-3.5664,0.4167,False,+,+,False,-0.16004,0.0,0.05,-0.16004,0.2265,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,-,True,0.0161,0.019,0.5417,0.8333,1.0672,0.5,False,+,+,False,-0.09824,0.02652,0.05,-0.09824,0.13762,0.0,False,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0218,0.0255,0.5417,0.6667,3.4066,0.5,False,+,,False,-0.11233,0.0,0.05,-0.11233,0.16268,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,-,True,0.0237,0.0298,0.5833,0.8333,2.7974,0.5833,False,+,+,False,-0.12166,0.11984,0.05,-0.12166,0.1864,0.0,False,True,False,False
