event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,+,False,0.0104,0.0166,0.5417,0.875,2.0438,0.3333,False,+,,False,,,-0.07197,0.00093,0.05,-0.07197,0.10523,0.0,True,True,True,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,+,False,0.0133,0.0223,0.5,0.8333,-4.0027,0.5,False,+,+,False,,,-0.08158,0.0,0.05,-0.08158,0.1416,0.0,True,True,False,False
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,+,False,0.0324,0.0395,0.4583,0.9167,-3.0413,0.4583,False,+,+,False,,,-0.09288,0.0,0.05,-0.09288,0.12901,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,+,False,0.0117,0.0173,0.5833,0.875,4.1761,0.5417,False,+,,False,,,-0.06874,0.00191,0.05,-0.06874,0.10897,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,+,False,0.0165,0.0256,0.7083,0.75,3.9159,0.5833,False,+,,False,,,-0.09222,0.00375,0.05,-0.09222,0.12768,0.0,True,False,False,False
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,+,False,0.0211,0.0309,0.7083,0.8333,1.8787,0.7083,False,+,+,False,,,-0.10399,0.0,0.05,-0.10399,0.15245,0.0,False,False,False,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,+,False,0.0141,0.0184,0.625,0.875,2.9892,0.5833,False,+,,False,,,-0.10167,0.0,0.05,-0.10167,0.169,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,+,True,0.0338,0.0385,0.375,0.875,-2.3403,0.375,False,+,+,False,,,-0.14825,0.0,0.05,-0.14825,0.21665,0.0,True,True,True,False
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,+,False,0.0345,0.0378,0.4167,0.9583,-3.5664,0.4167,False,+,+,False,,,-0.18404,0.0,0.05,-0.18404,0.21881,0.0,True,True,True,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0191,0.5833,0.6667,0.5706,0.5417,False,+,,False,,,-0.07183,0.0,0.05,-0.07183,0.1482,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0218,0.0254,0.5833,0.7083,3.3578,0.5833,False,+,+,False,,,-0.11802,0.00198,0.05,-0.11802,0.17969,0.0,False,True,True,False
