event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0172,0.0219,0.4583,0.8333,-3.9249,0.4583,False,+,+,False,-0.10244,0.0,0.05,-0.10244,0.15262,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0224,0.0255,0.5,0.7083,3.1721,0.4583,False,+,+,False,-0.11586,0.0,0.05,-0.11586,0.18111,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0218,0.025,0.4167,0.8333,-4.7887,0.375,False,+,+,False,-0.13411,0.0,0.05,-0.13411,0.19361,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0279,0.0305,0.375,1.0,-0.2636,0.375,False,+,+,False,-0.16537,0.0,0.05,-0.16537,0.17558,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0193,0.0243,0.4583,1.0,-2.6221,0.4583,False,+,+,False,-0.18665,0.0,0.05,-0.18665,0.21174,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0282,0.031,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.18779,0.0,0.05,-0.18779,0.20251,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0242,0.0285,0.5417,0.9583,-1.0087,0.5417,False,+,+,False,-0.17861,0.0,0.05,-0.17861,0.25567,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0273,0.0324,0.625,0.9583,2.7244,0.625,False,+,+,False,-0.21089,0.0,0.05,-0.21089,0.3456,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0343,0.0375,0.375,1.0,-3.6698,0.375,True,+,+,False,-0.16448,0.0,0.05,-0.16448,0.24262,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0349,0.0396,0.375,1.0,-1.9226,0.375,True,+,+,False,-0.28491,0.0,0.05,-0.28491,0.33622,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,+,False,0.0206,0.0235,0.375,1.0,-4.3119,0.375,False,+,+,False,-0.33381,0.0,0.05,-0.33381,0.33225,0.0,False,False,False,True
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0286,0.0327,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07626,0.20515,0.05,-0.07626,0.06854,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,-,True,0.0312,0.0332,0.5,1.0,-1.4117,0.5,False,-,-,False,-0.2078,0.21294,0.05,-0.2078,0.17364,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,0.004962,+,+,True,0.0207,0.0229,0.5417,1.0,1.2986,0.5417,False,+,+,False,-0.12614,0.0,0.05,-0.12614,0.12154,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,-0.022505,-,-,True,0.0332,0.0368,0.5,0.9583,-3.8618,0.5,False,-,-,False,-0.18676,0.20188,0.05,-0.18676,0.17862,0.0,False,False,False,False
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,-0.006363,-,-,True,0.0238,0.0255,0.5,1.0,-3.1358,0.4583,False,+,+,False,-0.11761,0.1421,0.05,-0.11761,0.11931,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,-0.007883,-,-,True,0.0079,0.0103,0.5,0.9583,1.047,0.5,False,-,+,True,-0.11007,0.03724,0.05,-0.11007,0.09201,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801780,0.029385,+,-,False,0.0315,0.0351,0.5833,0.7917,-0.2151,0.5833,False,-,+,True,-0.08701,0.22512,0.05,-0.08701,0.07381,0.0,False,False,False,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801790,0.003165,+,-,False,0.0127,0.0165,0.5417,0.75,-3.2622,0.5417,False,+,+,False,-0.08863,0.0057,0.05,-0.08863,0.10214,0.0,False,False,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801180,-0.020592,-,-,True,0.0209,0.0249,0.5417,0.875,2.0384,0.5417,False,-,+,True,-0.13454,0.15294,0.05,-0.13454,0.12658,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801710,-0.040695,-,-,True,0.0147,0.0181,0.4167,1.0,-0.8361,0.4167,False,-,+,True,-0.23434,0.03026,0.05,-0.23434,0.19497,0.0,True,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801780,0.025073,+,-,False,0.0111,0.0153,0.6667,0.9583,3.5534,0.6667,False,-,+,True,-0.18993,0.03715,0.05,-0.18993,0.17635,0.0,False,True,True,True
