event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0171,0.0211,0.3333,0.75,-6.0311,0.3333,False,+,+,False,-0.08361,0.0,0.05,-0.08361,0.13718,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0219,0.0253,0.5,0.7083,2.1088,0.4583,False,+,,False,-0.11564,6e-05,0.05,-0.11564,0.17395,0.0,False,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.02,0.0236,0.5417,0.7083,-1.568,0.4583,False,+,,False,-0.12145,0.00209,0.05,-0.12145,0.16888,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0215,0.0249,0.375,1.0,-0.2636,0.375,False,+,+,False,-0.14362,0.0,0.05,-0.14362,0.18404,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0176,0.0234,0.5417,1.0,-2.3119,0.5,False,+,+,False,-0.15668,0.0,0.05,-0.15668,0.23105,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0178,0.0205,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.17181,0.0,0.05,-0.17181,0.20942,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0296,0.0357,0.5833,1.0,0.6645,0.5833,False,+,+,False,-0.2041,0.0,0.05,-0.2041,0.24424,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0229,0.028,0.625,0.9167,2.7244,0.625,False,+,+,False,-0.21002,0.0,0.05,-0.21002,0.30171,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0389,0.0422,0.375,1.0,-3.6698,0.375,True,+,+,False,-0.16818,0.0,0.05,-0.16818,0.23421,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0247,0.0296,0.375,1.0,-1.9226,0.375,False,+,+,False,-0.30878,0.0,0.05,-0.30878,0.38424,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,+,False,0.0235,0.0276,0.375,1.0,-4.3119,0.375,False,+,+,False,-0.24024,0.0,0.05,-0.24024,0.36201,0.0,False,False,False,True
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0281,0.0321,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07597,0.20165,0.05,-0.07597,0.06983,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,-,True,0.0324,0.0339,0.5,1.0,-1.4117,0.5,False,-,-,False,-0.20728,0.20559,0.05,-0.20728,0.19326,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,0.004962,+,-,False,0.0319,0.0347,0.4583,1.0,-1.7618,0.4583,False,-,-,False,-0.13059,0.20599,0.05,-0.13059,0.12122,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,-0.022505,-,+,False,0.0257,0.0285,0.5,0.9583,3.5438,0.4583,False,-,+,True,-0.17578,0.0,0.05,-0.17578,0.14918,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,-0.006363,-,-,True,0.025,0.0267,0.5,1.0,-3.1358,0.4583,False,-,+,True,-0.18647,0.15572,0.05,-0.18647,0.16094,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,-0.007883,-,-,True,0.0074,0.0099,0.5,0.9167,-0.6248,0.5,False,-,+,True,-0.09728,0.02749,0.05,-0.09728,0.09431,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801780,0.029385,+,-,False,0.017,0.0215,0.5833,0.7917,-0.2151,0.5833,False,-,+,True,-0.08089,0.11987,0.05,-0.08089,0.07361,0.0,False,False,False,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801790,0.003165,+,-,False,0.0126,0.0162,0.5833,0.8333,1.6226,0.5833,False,-,+,True,-0.10984,0.01653,0.05,-0.10984,0.09477,0.0,False,False,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801180,-0.020592,-,-,True,0.0322,0.0364,0.5417,0.9583,2.0384,0.5417,False,-,+,True,-0.17215,0.25358,0.05,-0.17215,0.14036,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801710,-0.040695,-,-,True,0.0134,0.0179,0.5417,0.8333,-1.9447,0.4583,False,-,+,True,-0.12859,0.00765,0.05,-0.12859,0.12786,0.0,True,True,True,False
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801780,0.025073,+,-,False,0.0117,0.0159,0.6667,0.9583,3.5534,0.6667,False,-,+,True,-0.1902,0.04239,0.05,-0.1902,0.17638,0.0,False,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801790,0.004824,+,+,True,0.0243,0.0304,0.5,0.8333,-3.4782,0.5,False,-,+,True,-0.1686,0.0,0.05,-0.1686,0.1393,0.0,True,False,False,False
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801180,-0.011641,-,-,True,0.0274,0.0351,0.5417,1.0,2.3734,0.5417,False,-,+,True,-0.40927,0.16014,0.05,-0.40927,0.3397,0.0,False,False,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801180,-0.046473,-,-,True,0.0183,0.0222,0.5833,1.0,1.9315,0.5833,False,-,+,True,-0.43,0.15366,0.05,-0.43,0.40122,0.0,True,True,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801710,-0.003947,-,-,True,0.0117,0.0146,0.375,1.0,-1.894,0.3333,False,-,+,True,-0.28898,0.02422,0.05,-0.28898,0.26715,0.0,False,True,False,False
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801780,0.005133,+,+,True,0.0264,0.0286,0.5,1.0,0.6381,0.5,False,-,+,True,-0.12325,0.0,0.05,-0.12325,0.09344,0.0,False,False,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801790,0.017386,+,+,True,0.0281,0.0305,0.375,0.9583,-2.7125,0.375,False,+,+,False,-0.16874,0.0,0.05,-0.16874,0.19965,0.0,False,False,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801180,-0.013031,-,-,True,0.0276,0.0314,0.5417,1.0,-0.3124,0.5417,False,+,+,False,-0.30113,0.19124,0.05,-0.30113,0.29611,0.0,False,True,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801710,-0.02968,-,-,True,0.0185,0.0225,0.6667,1.0,5.6572,0.6667,False,+,+,False,-0.26344,0.1413,0.05,-0.26344,0.25752,0.0,False,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801780,0.003452,+,+,True,0.0252,0.0289,0.5,0.7917,2.3633,0.5,False,-,+,True,-0.10458,0.0,0.05,-0.10458,0.07675,0.0,True,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801790,0.012493,+,+,True,0.0308,0.0338,0.5,0.9167,1.235,0.5,False,-,+,True,-0.14923,0.0,0.05,-0.14923,0.12008,0.0,True,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801180,0.052558,+,-,False,0.0249,0.0341,0.5417,0.9167,-1.028,0.5417,False,+,+,False,-0.22134,0.12985,0.05,-0.22134,0.2178,0.0,False,False,False,False
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801710,0.003928,+,-,False,0.0296,0.0352,0.5833,1.0,-0.5001,0.5833,False,+,+,False,-0.22344,0.20749,0.05,-0.22344,0.21383,0.0,False,False,False,False
2022-11-28,房地产金融16条：支持房企合理融资需求,801180,-0.000644,-,+,False,0.0364,0.0398,0.4167,0.9583,-1.2057,0.4167,True,-,+,True,-0.23256,0.0,0.05,-0.23256,0.20211,0.0,False,True,True,True
2022-11-28,房地产金融16条：支持房企合理融资需求,801780,-0.006354,-,+,False,0.0226,0.0264,0.4583,0.9167,1.1762,0.4583,False,-,+,True,-0.10658,0.0,0.05,-0.10658,0.09396,0.0,False,True,True,True
2022-11-28,房地产金融16条：支持房企合理融资需求,801710,0.002945,+,+,True,0.0292,0.0333,0.375,0.9583,-1.1248,0.375,False,+,+,False,-0.19642,0.0,0.05,-0.19642,0.19321,0.0,False,True,True,True
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801780,-0.023531,-,+,False,0.0271,0.0298,0.5417,1.0,3.4625,0.5417,False,-,+,True,-0.14871,0.0,0.05,-0.14871,0.14486,0.0,False,False,True,False
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801790,0.000899,+,+,True,0.0296,0.0319,0.625,1.0,3.9604,0.625,False,-,+,True,-0.18543,0.0,0.05,-0.18543,0.17185,0.0,True,True,True,True
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801180,-0.011634,-,-,True,0.0362,0.0391,0.6667,1.0,0.3664,0.6667,True,-,+,True,-0.29723,0.25866,0.05,-0.29723,0.23007,0.0,False,False,False,True
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801780,0.006226,+,+,True,0.0223,0.0241,0.375,0.9583,-0.5989,0.375,False,-,+,True,-0.12257,0.0,0.05,-0.12257,0.09581,0.0,False,False,False,False
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801790,-0.009731,-,+,False,0.0322,0.035,0.375,0.9583,1.7934,0.375,False,-,+,True,-0.16593,0.0,0.05,-0.16593,0.12991,0.0,False,False,False,False
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801180,-0.000245,-,-,True,0.037,0.0409,0.5417,0.9167,-2.1954,0.5417,False,-,+,True,-0.1553,0.2404,0.05,-0.1553,0.10817,0.0,True,True,True,True
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801710,-0.01003,-,-,True,0.0179,0.0234,0.5417,0.875,-0.7082,0.5417,False,-,+,True,-0.13136,0.11487,0.05,-0.13136,0.08064,0.0,True,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801790,0.072335,+,+,True,0.0297,0.033,0.5,0.875,1.872,0.5,False,-,+,True,-0.18717,0.0,0.05,-0.18717,0.16184,0.0,False,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801780,0.021393,+,+,True,0.0242,0.027,0.4167,0.9167,0.3227,0.4167,False,-,+,True,-0.13476,0.0,0.05,-0.13476,0.11881,0.0,False,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801750,-0.024142,-,+,False,0.0261,0.0302,0.5417,1.0,-1.1724,0.5417,False,-,+,True,-0.31157,0.0,0.05,-0.31157,0.30161,0.0,True,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801760,-0.053839,-,+,False,0.0354,0.0406,0.375,1.0,-1.1827,0.375,True,-,+,True,-0.54078,0.0,0.05,-0.54078,0.54969,0.0,False,False,False,True
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801780,0.025323,+,+,True,0.0171,0.0195,0.4583,1.0,0.5399,0.4583,False,-,+,True,-0.15198,0.0,0.05,-0.15198,0.12621,0.0,True,True,False,True
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801790,0.00605,+,+,True,0.0342,0.0376,0.5,1.0,-2.281,0.5,True,-,+,True,-0.19753,0.0,0.05,-0.19753,0.19674,0.0,True,True,False,False
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801180,0.003881,+,-,False,0.0351,0.0395,0.625,0.9167,1.8268,0.625,False,-,+,True,-0.16052,0.24827,0.05,-0.16052,0.14244,0.0,True,False,True,False
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801710,0.021268,+,-,False,0.0177,0.0212,0.5833,1.0,1.1101,0.5833,False,-,+,True,-0.17386,0.13114,0.05,-0.17386,0.13434,0.0,True,False,True,True
2023-08-21,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.2,801780,0.019955,+,+,True,0.0204,0.0233,0.5,1.0,1.1224,0.5,False,-,+,True,-0.18594,0.0,0.05,-0.18594,0.15265,0.0,False,False,False,False
