event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,-,True,0.0115,0.0167,0.5417,0.875,3.1656,0.4583,False,+,+,False,,,+,+,-,-0.07012,0.01464,0.05,-0.07012,0.10594,0.0,False,False,False,True
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,-,True,0.0141,0.0213,0.5,0.875,2.2271,0.4583,False,+,,False,,,+,+,-,-0.09971,0.01369,0.05,-0.09971,0.1405,0.0,False,False,True,True
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,-,True,0.015,0.0226,0.6667,0.875,4.7606,0.6667,False,+,,False,,,+,+,-,-0.09971,0.01685,0.05,-0.09971,0.13352,0.0,False,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,-,True,0.0122,0.0172,0.6667,0.875,3.9236,0.6667,False,+,,False,,,+,+,-,-0.0774,0.02247,0.05,-0.0774,0.09755,0.0,True,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,-,True,0.0189,0.0262,0.5,0.7917,0.0216,0.4583,False,+,,False,,,+,+,-,-0.09931,0.01641,0.05,-0.09931,0.13159,0.0,True,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,-,True,0.0172,0.0246,0.5,0.8333,2.317,0.4583,False,+,,False,,,+,+,-,-0.09971,0.01393,0.05,-0.09971,0.13711,0.0,True,True,True,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,-,True,0.0128,0.0175,0.5,0.875,-0.1977,0.5,False,+,+,False,,,+,+,-,-0.11541,0.01032,0.05,-0.11541,0.15973,0.0,False,False,False,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,-,False,0.0185,0.0239,0.6667,0.875,4.4159,0.6667,False,+,+,False,,,+,+,-,-0.15597,0.00872,0.05,-0.15597,0.21243,0.0,False,False,False,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,-,True,0.0175,0.0224,0.375,0.9167,-3.5653,0.375,False,+,,False,,,+,+,-,-0.16511,0.01328,0.05,-0.16511,0.21238,0.0,False,False,False,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0171,0.0214,0.375,0.8333,-5.8698,0.375,False,+,,False,,,+,+,-,-0.0944,0.0,0.05,-0.0944,0.14141,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0222,0.0257,0.5,0.7083,0.5461,0.4583,False,+,+,False,,,+,+,-,-0.12091,0.0,0.05,-0.12091,0.17542,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.022,0.0254,0.5,0.75,-0.3636,0.5,False,+,,False,,,+,+,-,-0.13798,0.0,0.05,-0.13798,0.1692,0.0,True,False,True,True
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801780,0.006871,+,+,True,0.0156,0.0191,0.2917,0.9167,-5.9643,0.25,False,+,+,False,,,+,+,-,-0.13983,0.0,0.05,-0.13983,0.1688,0.0,False,False,False,False
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801790,-0.008571,-,+,False,0.0161,0.0214,0.5,0.9167,-1.7385,0.5,False,+,+,False,,,+,+,-,-0.22325,0.00212,0.05,-0.22325,0.28135,0.0,True,False,False,False
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801180,-0.008969,-,+,False,0.0192,0.0247,0.375,0.875,-4.2274,0.3333,False,+,+,False,,,+,+,-,-0.17007,0.0,0.05,-0.17007,0.22127,0.0,False,False,False,False
