event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,debate_abstained,debate_confidence,reld_r_ind,reld_r_mkt,reld_beats_market,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,-0.010662,-,-,True,0.0109,0.0162,0.5833,0.875,3.7672,0.5,False,+,,False,,,+,+,-,-0.07197,0.01592,0.05,-0.07197,0.10523,0.0,False,False,False,True
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,-0.019126,-,-,True,0.0135,0.0211,0.5417,0.8333,3.6133,0.5,False,+,+,False,,,+,+,-,-0.09486,0.00575,0.05,-0.09486,0.15567,0.0,False,False,True,True
2020-01-01,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,-0.010388,-,-,True,0.0147,0.0223,0.7083,0.9167,5.9261,0.7083,False,+,+,False,,,+,+,-,-0.09626,0.01783,0.05,-0.09626,0.13239,0.0,False,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801780,-0.026806,-,-,True,0.012,0.0173,0.625,0.875,2.4212,0.5833,False,+,,False,,,+,+,-,-0.06874,0.01243,0.05,-0.06874,0.10897,0.0,True,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801790,-0.027079,-,-,True,0.0188,0.0262,0.5,0.75,-0.5462,0.4167,False,+,,False,,,+,+,-,-0.09222,0.01482,0.05,-0.09222,0.12768,0.0,True,True,True,True
2020-02-03,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基,801180,-0.02662,-,-,True,0.0171,0.0253,0.5417,0.8333,2.8997,0.5,False,+,,False,,,+,+,-,-0.09208,0.00801,0.05,-0.09208,0.14115,0.0,True,True,True,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801780,-0.032234,-,-,True,0.013,0.0174,0.4583,0.875,-1.0794,0.4583,False,+,,False,,,+,+,-,-0.10167,0.01289,0.05,-0.10167,0.169,0.0,False,False,False,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801790,0.020116,+,-,False,0.0186,0.0245,0.5833,0.875,3.6886,0.5833,False,+,,False,,,+,+,-,-0.13131,0.01014,0.05,-0.13131,0.20308,0.0,False,False,False,True
2020-02-17,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.,801180,-0.046862,-,-,True,0.0167,0.0216,0.5833,0.9583,0.7306,0.5417,False,+,+,False,,,+,+,-,-0.1705,0.02406,0.05,-0.1705,0.19463,0.0,False,False,False,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.017,0.0214,0.4167,0.6667,-4.1296,0.4167,False,+,,False,,,+,+,-,-0.07183,0.0,0.05,-0.07183,0.1482,0.0,True,False,False,False
