event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0192,0.5417,0.7083,-0.6176,0.5,False,+,,False,-0.08374,0.0,0.05,-0.08374,0.1349,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.031,0.0369,0.375,0.7083,-3.0085,0.375,False,+,+,False,-0.12776,0.0,0.05,-0.12776,0.18952,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0211,0.0243,0.4583,0.8333,-1.6753,0.4583,False,+,,False,-0.13536,0.0,0.05,-0.13536,0.19417,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0215,0.0242,0.375,1.0,-0.2636,0.375,False,+,+,False,-0.1654,0.0,0.05,-0.1654,0.17562,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0203,0.0252,0.4583,1.0,-2.6221,0.4583,False,+,+,False,-0.19341,0.0,0.05,-0.19341,0.21757,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.027,0.0299,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.18789,0.0,0.05,-0.18789,0.20252,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0279,0.0329,0.5833,0.9583,0.6645,0.5833,False,+,+,False,-0.19428,0.0,0.05,-0.19428,0.27126,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.029,0.0342,0.625,0.9583,2.7244,0.625,False,+,+,False,-0.2108,0.0,0.05,-0.2108,0.34571,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0328,0.036,0.375,1.0,-3.6698,0.375,True,+,+,False,-0.16762,0.0,0.05,-0.16762,0.24583,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0186,0.0226,0.375,1.0,-1.9226,0.375,False,+,+,False,-0.24796,0.0,0.05,-0.24796,0.29849,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,-0.026561,-,+,False,0.0212,0.0243,0.375,1.0,-4.3119,0.375,False,+,+,False,-0.32352,0.0,0.05,-0.32352,0.33279,0.0,False,False,False,True
2021-07-26,教育双减政策：学科类培训机构不得上市融资,801760,-0.01686,-,-,True,0.0286,0.0327,0.625,0.625,2.3567,0.625,False,+,-,True,-0.07626,0.20515,0.05,-0.07626,0.06854,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,-0.022146,-,-,True,0.0312,0.0332,0.5,1.0,-1.4117,0.5,False,-,-,False,-0.2078,0.21294,0.05,-0.2078,0.17364,0.0,False,False,False,False
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,0.004962,+,+,True,0.0278,0.0295,0.5417,1.0,1.2986,0.5417,False,+,+,False,-0.12616,0.0,0.05,-0.12616,0.12155,0.0,True,True,True,True
2021-12-06,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,-0.022505,-,-,True,0.0337,0.0373,0.5,0.9583,-3.8618,0.5,False,-,-,False,-0.18676,0.20537,0.05,-0.18676,0.17862,0.0,False,False,False,False
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,-0.006363,-,-,True,0.0169,0.0188,0.5,1.0,-3.1358,0.4583,False,+,+,False,-0.11869,0.09083,0.05,-0.11869,0.12141,0.0,True,True,True,True
2021-12-20,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,-0.007883,-,-,True,0.0077,0.01,0.5833,0.9583,0.7886,0.5,False,-,+,True,-0.10914,0.03066,0.05,-0.10914,0.09126,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801780,0.029385,+,-,False,0.0208,0.0245,0.5833,0.7917,-0.2151,0.5833,False,-,+,True,-0.08615,0.14708,0.05,-0.08615,0.07283,0.0,False,False,False,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801790,0.003165,+,-,False,0.0128,0.0166,0.4583,0.7083,-4.3078,0.4583,False,+,+,False,-0.07665,0.00126,0.05,-0.07665,0.09029,0.0,False,False,True,False
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801180,-0.020592,-,-,True,0.0169,0.021,0.5417,0.875,2.0384,0.5417,False,-,+,True,-0.13339,0.11666,0.05,-0.13339,0.12512,0.0,True,True,True,True
2022-01-20,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(,801710,-0.040695,-,-,True,0.0147,0.0181,0.4167,1.0,-0.8361,0.4167,False,-,+,True,-0.23656,0.02983,0.05,-0.23656,0.19721,0.0,True,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801780,0.025073,+,-,False,0.0112,0.0153,0.6667,0.9583,3.5534,0.6667,False,-,+,True,-0.18824,0.04124,0.05,-0.18824,0.17452,0.0,False,True,True,True
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801790,0.004824,+,+,True,0.0213,0.0272,0.5,0.875,-3.4782,0.5,False,-,+,True,-0.18795,0.0,0.05,-0.18795,0.15142,0.0,True,False,False,False
2022-04-15,央行降准0.25个百分点：释放长期资金约5300亿元,801180,-0.011641,-,-,True,0.0272,0.0352,0.5417,1.0,2.3734,0.5417,False,-,+,True,-0.35041,0.17792,0.05,-0.35041,0.32446,0.0,False,False,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801180,-0.046473,-,-,True,0.0244,0.0292,0.5833,1.0,1.9315,0.5833,False,-,+,True,-0.46411,0.20961,0.05,-0.46411,0.38582,0.0,True,True,True,True
2022-05-20,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15,801710,-0.003947,-,-,True,0.0114,0.0149,0.5,1.0,-0.7733,0.5,False,-,+,True,-0.27617,0.01876,0.05,-0.27617,0.26423,0.0,False,True,False,False
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801780,0.005133,+,+,True,0.0157,0.0181,0.5,1.0,0.6381,0.5,False,-,+,True,-0.13177,0.0,0.05,-0.13177,0.10489,0.0,False,False,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801790,0.017386,+,+,True,0.0277,0.0304,0.375,1.0,-2.7125,0.375,False,+,+,False,-0.2956,0.0,0.05,-0.2956,0.32417,0.0,False,False,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801180,-0.013031,-,-,True,0.0118,0.0152,0.625,1.0,5.8436,0.625,False,-,,False,-0.3076,0.02757,0.05,-0.3076,0.26026,0.0,False,True,True,True
2022-08-22,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-,801710,-0.02968,-,-,True,0.0125,0.0158,0.6667,0.875,5.6572,0.6667,False,+,+,False,-0.16856,0.06249,0.05,-0.16856,0.17777,0.0,False,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801780,0.003452,+,+,True,0.0249,0.0287,0.5,0.7917,2.3633,0.5,False,-,+,True,-0.111,0.0,0.05,-0.111,0.08329,0.0,True,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801790,0.012493,+,+,True,0.0249,0.0278,0.5,0.8333,1.235,0.5,False,-,+,True,-0.12235,0.0,0.05,-0.12235,0.10408,0.0,True,True,True,True
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801180,0.052558,+,-,False,0.0306,0.0406,0.5417,0.9583,-1.028,0.5417,True,-,+,True,-0.30017,0.17821,0.05,-0.30017,0.25059,0.0,False,False,False,False
2022-11-25,央行降准0.25个百分点：释放长期资金约5000亿元,801710,0.003928,+,-,False,0.0294,0.0362,0.5833,1.0,-0.5001,0.5833,False,+,+,False,-0.27536,0.19339,0.05,-0.27536,0.27168,0.0,False,False,False,False
2022-11-28,房地产金融16条：支持房企合理融资需求,801180,-0.000644,-,+,False,0.0337,0.0372,0.4167,0.9583,-1.2057,0.4167,False,-,+,True,-0.23213,0.0,0.05,-0.23213,0.22135,0.0,False,True,True,True
2022-11-28,房地产金融16条：支持房企合理融资需求,801780,-0.006354,-,+,False,0.0239,0.0275,0.4583,0.875,1.1762,0.4583,False,-,+,True,-0.10213,0.0,0.05,-0.10213,0.08239,0.0,False,True,True,True
2022-11-28,房地产金融16条：支持房企合理融资需求,801710,0.002945,+,+,True,0.0278,0.0317,0.375,1.0,-1.1248,0.375,False,-,+,True,-0.24033,0.0,0.05,-0.24033,0.23063,0.0,False,True,True,True
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801780,-0.023531,-,+,False,0.0228,0.0254,0.5417,1.0,3.4625,0.5417,False,+,+,False,-0.1909,0.0,0.05,-0.1909,0.2268,0.0,False,False,True,False
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801790,0.000899,+,+,True,0.02,0.0216,0.625,1.0,3.9604,0.625,False,-,+,True,-0.20822,0.0,0.05,-0.20822,0.18731,0.0,True,True,True,True
2023-03-17,央行降准0.25个百分点：释放长期资金约5000亿元,801180,-0.011634,-,-,True,0.0376,0.0401,0.6667,1.0,0.3664,0.6667,True,-,+,True,-0.25313,0.25811,0.05,-0.25313,0.20697,0.0,False,False,False,True
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801780,0.006226,+,+,True,0.0266,0.0284,0.375,0.9583,-0.5989,0.375,False,-,+,True,-0.13218,0.0,0.05,-0.13218,0.10092,0.0,False,False,False,False
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801790,-0.009731,-,+,False,0.0273,0.0301,0.375,0.9583,1.7934,0.375,False,-,+,True,-0.17416,0.0,0.05,-0.17416,0.13843,0.0,False,False,False,False
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801180,-0.000245,-,-,True,0.0257,0.031,0.5417,0.9167,-2.1954,0.5417,False,-,+,True,-0.14112,0.16407,0.05,-0.14112,0.10459,0.0,True,True,True,True
2023-06-20,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(,801710,-0.01003,-,-,True,0.0182,0.0236,0.5417,0.875,-0.7082,0.5417,False,-,+,True,-0.11848,0.11291,0.05,-0.11848,0.0858,0.0,True,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801790,0.072335,+,+,True,0.0252,0.0288,0.5,0.8333,1.872,0.5,False,-,+,True,-0.13668,0.0,0.05,-0.13668,0.12605,0.0,False,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801780,0.021393,+,+,True,0.0256,0.0283,0.4167,0.9167,0.3227,0.4167,False,-,+,True,-0.14428,0.0,0.05,-0.14428,0.11148,0.0,False,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801750,-0.024142,-,+,False,0.0313,0.0352,0.5417,1.0,-1.1724,0.5417,False,+,+,False,-0.27544,0.0,0.05,-0.27544,0.28903,0.0,True,True,True,True
2023-07-24,政治局会议：活跃资本市场，提振投资者信心,801760,-0.053839,-,+,False,0.0351,0.0406,0.375,1.0,-1.1827,0.375,True,+,+,False,-0.49878,0.0,0.05,-0.49878,0.56901,0.0,False,False,False,True
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801780,0.025323,+,+,True,0.0274,0.0298,0.4583,1.0,0.5399,0.4583,False,-,+,True,-0.15176,0.0,0.05,-0.15176,0.13538,0.0,True,True,False,True
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801790,0.00605,+,+,True,0.0294,0.0328,0.5,1.0,-2.281,0.5,False,-,+,True,-0.19949,0.0,0.05,-0.19949,0.18125,0.0,True,True,False,False
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801180,0.003881,+,-,False,0.0336,0.038,0.625,0.9167,1.8268,0.625,False,-,+,True,-0.19044,0.237,0.05,-0.19044,0.17345,0.0,True,False,True,False
2023-08-15,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80,801710,0.021268,+,-,False,0.0203,0.0238,0.5833,0.9583,1.1101,0.5833,False,-,+,True,-0.16262,0.15186,0.05,-0.16262,0.11057,0.0,True,False,True,True
2023-08-21,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.2,801780,0.019955,+,+,True,0.0253,0.0277,0.5,1.0,1.1224,0.5,False,-,+,True,-0.15468,0.0,0.05,-0.15468,0.14305,0.0,False,False,False,False
2023-08-21,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.2,801790,0.006448,+,+,True,0.0296,0.0331,0.4583,1.0,-1.1233,0.4583,False,-,+,True,-0.22989,0.0,0.05,-0.22989,0.23442,0.0,False,False,False,False
2023-08-27,证监会：印花税减半、阶段性收紧IPO、规范减持,801790,-0.024251,-,+,False,0.03,0.0325,0.375,1.0,-2.1322,0.375,False,-,+,True,-0.17177,0.0,0.05,-0.17177,0.17093,0.0,True,False,False,True
2023-08-27,证监会：印花税减半、阶段性收紧IPO、规范减持,801780,-0.021008,-,+,False,0.0219,0.0239,0.4583,1.0,0.4493,0.4583,False,-,+,True,-0.15443,0.0,0.05,-0.15443,0.13197,0.0,True,False,False,True
2023-09-15,央行降准0.25个百分点：释放长期资金约5000亿元,801780,0.008722,+,+,True,0.028,0.0294,0.4167,1.0,-2.2866,0.4167,False,-,+,True,-0.12454,0.0,0.05,-0.12454,0.10687,0.0,False,True,False,True
2023-09-15,央行降准0.25个百分点：释放长期资金约5000亿元,801790,0.013835,+,+,True,0.0228,0.0257,0.2917,1.0,-2.1635,0.2917,False,-,+,True,-0.22984,0.0,0.05,-0.22984,0.18392,0.0,False,False,False,False
2023-09-15,央行降准0.25个百分点：释放长期资金约5000亿元,801180,-0.003677,-,-,True,0.0254,0.0283,0.7083,1.0,7.2795,0.7083,False,-,+,True,-0.25148,0.20908,0.05,-0.25148,0.25042,0.0,False,True,True,True
2023-10-07,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,801030,-0.000342,-,-,True,0.0151,0.0172,0.5833,0.75,0.2462,0.5833,False,+,-,True,-0.05472,0.09611,0.05,-0.05472,0.06562,0.0,True,True,True,True
2023-10-07,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,801040,0.003863,+,-,False,0.0182,0.0216,0.625,0.8333,1.4478,0.625,False,+,-,True,-0.07834,0.12855,0.05,-0.07834,0.07937,0.0,True,True,True,True
2023-10-31,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,801780,-0.005589,-,+,False,0.027,0.028,0.4167,1.0,-4.0419,0.4167,False,-,+,True,-0.14057,0.0,0.05,-0.14057,0.11356,0.0,True,True,True,False
2023-10-31,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,801790,0.022559,+,+,True,0.025,0.0267,0.4167,1.0,-1.9024,0.4167,False,-,+,True,-0.19819,0.0,0.05,-0.19819,0.18087,0.0,True,False,True,True
2023-10-31,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,801180,0.004878,+,+,True,0.02,0.0223,0.4167,1.0,-0.3782,0.4167,False,+,+,False,-0.17759,0.0,0.05,-0.17759,0.16706,0.0,True,False,True,True
2024-01-24,央行降准0.5pp+支农支小再贷款利率降25bp,801780,0.052112,+,+,True,0.0101,0.0131,0.6667,0.6667,5.5671,0.6667,False,-,+,True,-0.06323,0.0,0.05,-0.06323,0.04939,0.0,True,True,True,True
2024-01-24,央行降准0.5pp+支农支小再贷款利率降25bp,801790,0.029548,+,+,True,0.0221,0.0261,0.5417,0.875,2.9064,0.5417,False,-,+,True,-0.13283,0.0,0.05,-0.13283,0.09942,0.0,True,True,True,True
2024-01-24,央行降准0.5pp+支农支小再贷款利率降25bp,801180,0.030768,+,-,False,0.0437,0.0519,0.5,0.7083,-0.6679,0.5,True,-,+,True,-0.19597,0.27355,0.05,-0.19597,0.13199,0.0,False,False,False,True
2024-01-24,央行降准0.5pp+支农支小再贷款利率降25bp,801710,0.007479,+,-,False,0.0189,0.0235,0.4167,0.8333,-1.2768,0.4167,False,-,+,True,-0.18528,0.07115,0.05,-0.18528,0.1268,0.0,False,False,False,True
2024-02-05,A股春节前急跌：沪指失守2700后V型反转,801790,-0.012597,-,+,False,0.0175,0.0205,0.5417,0.9583,2.9742,0.5417,False,-,+,True,-0.14455,0.0,0.05,-0.14455,0.11194,0.0,False,True,True,True
2024-02-05,A股春节前急跌：沪指失守2700后V型反转,801780,-0.034132,-,+,False,0.0153,0.0175,0.5,0.75,2.1534,0.5,False,-,+,True,-0.05005,0.0,0.05,-0.05005,0.03879,0.0,True,True,True,True
2024-02-05,A股春节前急跌：沪指失守2700后V型反转,801750,0.034151,+,+,True,0.0237,0.0318,0.75,0.7083,5.3302,0.75,False,-,+,True,-0.25686,0.0,0.05,-0.25686,0.19553,0.0,False,True,True,True
2024-02-05,A股春节前急跌：沪指失守2700后V型反转,801080,0.039127,+,+,True,0.0189,0.0256,0.75,0.75,5.7505,0.75,False,-,+,True,-0.21181,0.0,0.05,-0.21181,0.13973,0.0,False,True,True,True
2024-02-07,证监会主席换帅：吴清接任易会满,801790,-0.00335,-,+,False,0.0144,0.0175,0.5417,1.0,1.6797,0.5417,False,+,+,False,-0.13795,0.0,0.05,-0.13795,0.12057,0.0,True,True,True,True
2024-02-07,证监会主席换帅：吴清接任易会满,801780,-0.010135,-,+,False,0.0305,0.0324,0.4167,0.8333,0.0183,0.4167,False,-,+,True,-0.06031,0.0,0.05,-0.06031,0.04774,0.0,False,True,True,True
2024-02-20,LPR非对称下调：1年期维持3.45%，5年期大降至3.95%(-25,801180,0.024702,+,+,True,0.0231,0.0269,0.5,1.0,0.6619,0.5,False,-,+,True,-0.28771,0.0,0.05,-0.28771,0.20272,0.0,True,True,True,True
2024-02-20,LPR非对称下调：1年期维持3.45%，5年期大降至3.95%(-25,801710,0.01431,+,+,True,0.0199,0.0225,0.5417,1.0,1.1961,0.5417,False,-,+,True,-0.21121,0.0,0.05,-0.21121,0.12385,0.0,True,True,True,True
2024-02-20,LPR非对称下调：1年期维持3.45%，5年期大降至3.95%(-25,801780,-0.010944,-,+,False,0.0131,0.0154,0.4583,0.875,0.2956,0.4583,False,-,+,True,-0.06375,0.0,0.05,-0.06375,0.05148,0.0,True,True,True,True
2024-03-13,推动大规模设备更新和消费品以旧换新行动方案,801890,0.02011,+,+,True,0.027,0.031,0.375,0.9167,-0.6672,0.375,False,-,+,True,-0.21992,0.0,0.05,-0.21992,0.21091,0.0,False,True,True,False
2024-03-13,推动大规模设备更新和消费品以旧换新行动方案,801040,0.017119,+,+,True,0.0255,0.0276,0.4583,0.9583,1.8198,0.4583,False,+,+,False,-0.14734,0.0,0.05,-0.14734,0.17078,0.0,False,True,True,False
2024-03-13,推动大规模设备更新和消费品以旧换新行动方案,801030,0.022039,+,+,True,0.0258,0.0293,0.5,0.9167,0.2062,0.5,False,+,+,False,-0.17365,0.0,0.05,-0.17365,0.18728,0.0,False,True,True,False
2024-03-13,推动大规模设备更新和消费品以旧换新行动方案,801880,0.04239,+,+,True,0.027,0.0302,0.5,0.9583,0.2061,0.5,False,+,+,False,-0.19576,0.0,0.05,-0.19576,0.19769,0.0,True,True,True,True
2024-04-12,国务院新国九条：推动资本市场高质量发展,801790,-0.003087,-,+,False,0.0218,0.0257,0.6667,0.8333,3.7485,0.6667,False,-,+,True,-0.13003,0.0,0.05,-0.13003,0.09729,0.0,False,False,True,True
2024-04-12,国务院新国九条：推动资本市场高质量发展,801780,0.028432,+,-,False,0.0095,0.0121,0.4583,0.8333,-6.5794,0.4583,False,-,+,True,-0.06515,0.03747,0.05,-0.06515,0.06699,0.0,True,False,False,False
2024-05-14,美国对华301关税：电动车100%+电池25%+太阳能50%,801880,-0.018169,-,-,True,0.0277,0.0291,0.4167,1.0,2.4969,0.4167,False,+,-,True,-0.21306,0.18699,0.05,-0.21306,0.21992,0.0,False,True,True,True
2024-05-14,美国对华301关税：电动车100%+电池25%+太阳能50%,801730,-0.024487,-,-,True,0.0262,0.0292,0.6667,1.0,3.1193,0.6667,False,-,-,False,-0.24454,0.19059,0.05,-0.24454,0.2442,0.0,True,True,True,True
2024-05-14,美国对华301关税：电动车100%+电池25%+太阳能50%,801080,0.00901,+,-,False,0.0353,0.0374,0.4167,1.0,-4.1354,0.4167,False,-,-,False,-0.35685,0.21034,0.05,-0.35685,0.29524,0.0,False,True,False,True
2024-05-17,房地产新政5·17：取消房贷利率下限+首付15%+3000亿保障房再贷,801180,0.027905,+,+,True,0.0375,0.0412,0.2917,0.9583,-3.7422,0.2917,False,-,+,True,-0.24297,0.0,0.05,-0.24297,0.2233,0.0,True,True,True,False
2024-05-17,房地产新政5·17：取消房贷利率下限+首付15%+3000亿保障房再贷,801710,-0.010448,-,+,False,0.0281,0.0309,0.3333,1.0,-9.0694,0.3333,False,-,+,True,-0.19328,0.0,0.05,-0.19328,0.13658,0.0,True,True,False,False
2024-05-17,房地产新政5·17：取消房贷利率下限+首付15%+3000亿保障房再贷,801780,0.015168,+,+,True,0.0208,0.0223,0.4167,0.9583,-3.6181,0.4167,False,-,+,True,-0.06745,0.0,0.05,-0.06745,0.08072,0.0,True,True,True,False
2024-06-19,国资委：央企市值管理纳入业绩考核,801790,-0.009075,-,+,False,0.0279,0.0309,0.5,1.0,-1.753,0.5,False,-,+,True,-0.1719,0.0,0.05,-0.1719,0.14439,0.0,False,False,False,False
2024-06-19,国资委：央企市值管理纳入业绩考核,801780,0.028208,+,+,True,0.017,0.0192,0.5833,0.9167,1.0485,0.5833,False,-,+,True,-0.09516,0.0,0.05,-0.09516,0.07658,0.0,True,True,True,True
2024-07-22,LPR双降：1年期降至3.35%(-10bp)，5年期降至3.85%(,801780,0.023156,+,+,True,0.0127,0.0154,0.5,0.9167,0.622,0.5,False,-,+,True,-0.08619,0.0,0.05,-0.08619,0.06782,0.0,False,False,False,False
