event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0192,0.5417,0.7083,-0.6176,0.5,False,+,,False,-0.08374,0.0,0.05,-0.08374,0.1349,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.028,0.0326,0.375,0.7083,-3.0085,0.375,False,+,+,False,-0.12669,0.0,0.05,-0.12669,0.18864,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0214,0.0246,0.4583,0.8333,-1.6753,0.4583,False,+,+,False,-0.13482,0.0,0.05,-0.13482,0.19393,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0242,0.027,0.375,1.0,-0.2636,0.375,False,+,+,False,-0.16539,0.0,0.05,-0.16539,0.1756,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0273,0.0314,0.4583,1.0,-2.6221,0.4583,False,+,+,False,-0.19316,0.0,0.05,-0.19316,0.21613,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0278,0.0306,0.5,1.0,-1.0829,0.5,False,+,+,False,-0.19024,0.0,0.05,-0.19024,0.2049,0.0,False,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0261,0.0309,0.5417,0.9583,-1.0087,0.5417,False,+,+,False,-0.19422,0.0,0.05,-0.19422,0.27121,0.0,True,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.0301,0.0356,0.625,0.9583,2.7244,0.625,False,+,+,False,-0.21073,0.0,0.05,-0.21073,0.34579,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.0594,0.0624,0.375,1.0,-3.6698,0.375,True,+,+,False,-0.16754,0.0,0.05,-0.16754,0.2456,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0152,0.0194,0.375,1.0,-1.9226,0.375,False,+,+,False,-0.27622,0.0,0.05,-0.27622,0.32772,0.0,False,False,False,False
