event_date,event_name,industry_code,real_CAR,real_dir,final_dir,dir_correct,MAE,RMSE,DirectionAcc,Coverage_95,Sharpe,WinRate,triggered,ts_pre_signal,llm_signal,disagreement,event_VaR,expected_MDD,tail_prob,risk_lo,risk_hi,dispersion,CAR_dir_T1,CAR_dir_T3,CAR_dir_T5,CAR_dir_T10
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801780,-0.012185,-,+,False,0.0153,0.0192,0.5417,0.7083,-0.6176,0.5,False,+,,False,-0.08374,0.0,0.05,-0.08374,0.1349,0.0,True,False,False,False
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801790,0.0052,+,+,True,0.0221,0.0252,0.5,0.7083,3.1721,0.4583,False,+,+,False,-0.11726,0.0,0.05,-0.11726,0.18274,0.0,True,True,True,True
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,-0.008532,-,+,False,0.0211,0.0243,0.4583,0.8333,-1.6753,0.4583,False,+,,False,-0.13536,0.0,0.05,-0.13536,0.19417,0.0,True,False,True,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.007995,+,+,True,0.0084,0.0116,0.4583,1.0,-4.5903,0.4167,False,+,+,False,-0.16539,0.00389,0.05,-0.16539,0.17563,0.0,True,True,False,False
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,-0.022017,-,+,False,0.0122,0.014,0.375,1.0,-8.1241,0.3333,False,+,+,False,-0.19339,0.00383,0.05,-0.19339,0.21749,0.0,False,False,False,False
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,-0.007232,-,+,False,0.0087,0.0123,0.6667,1.0,-1.533,0.5417,False,+,+,False,-0.18982,0.0048,0.05,-0.18982,0.20488,0.0,True,False,False,True
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.019768,+,+,True,0.0167,0.0212,0.5,0.9583,-4.9489,0.4167,False,+,+,False,-0.19441,0.01994,0.05,-0.19441,0.27128,0.0,False,True,True,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,0.009221,+,+,True,0.019,0.0246,0.5,0.9167,-0.117,0.5,False,+,+,False,-0.20757,0.0,0.05,-0.20757,0.34409,0.0,False,False,False,True
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,-0.02192,-,+,False,0.01,0.0128,0.3333,1.0,-11.9831,0.3333,False,+,+,False,-0.14065,0.0,0.05,-0.14065,0.21817,0.0,False,False,False,False
2020-09-22,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,-0.044047,-,+,False,0.0117,0.0161,0.4583,1.0,-1.4919,0.4167,False,+,+,False,-0.24774,0.0,0.05,-0.24774,0.29825,0.0,False,False,False,False
