event_date,event_type,industry_code,real_dir,final_dir,dir_correct,pred_mean_5,real_CAR
2020-01-01,monetary_policy,801780,-,+,False,0.004648202139351081,-0.010662
2020-01-01,monetary_policy,801790,-,+,False,0.01297765550319716,-0.019126
2020-01-01,monetary_policy,801180,-,+,False,0.011183845461202815,-0.010388
2020-02-03,monetary_policy,801780,-,-,True,-0.006610856793312176,-0.026806
2020-02-03,monetary_policy,801790,-,-,True,-0.0018194517091439145,-0.027079
2020-02-03,monetary_policy,801180,-,-,True,-0.00486299386333644,-0.02662
2020-02-17,monetary_policy,801780,-,-,True,-0.012737708408509203,-0.032234
2020-02-17,monetary_policy,801790,+,-,False,-0.011527089557412584,0.020116
2020-02-17,monetary_policy,801180,-,-,True,-0.01110656020367024,-0.046862
2020-02-20,monetary_policy,801780,-,-,True,-0.011592468775550317,-0.012185
2020-02-20,monetary_policy,801790,+,-,False,-0.007942051043222955,0.0052
2020-02-20,monetary_policy,801180,-,-,True,-0.010141873726482651,-0.008532
2020-03-13,monetary_policy,801780,+,-,False,-0.0016249976304108244,0.006871
2020-03-13,monetary_policy,801790,-,+,False,0.0032678159069027394,-0.008571
2020-03-13,monetary_policy,801180,-,+,False,0.0038253531553366395,-0.008969
2020-03-30,monetary_policy,801780,-,-,True,-0.004924637473444421,-0.027682
2020-03-30,monetary_policy,801790,-,-,True,-0.009466490274157477,-0.018241
2020-03-30,monetary_policy,801180,-,-,True,-0.006970482890006453,-0.01619
2020-04-03,monetary_policy,801780,-,-,True,-0.015122748701596595,-0.013809
2020-04-03,monetary_policy,801790,-,-,True,-0.022072522602471927,-0.011272
2020-04-03,monetary_policy,801180,-,-,True,-0.020385814579625933,-0.004635
2020-04-15,monetary_policy,801780,-,-,True,-0.0016023117847502703,-0.011559
2020-04-15,monetary_policy,801790,-,-,True,-0.0017765445653171446,-0.004653
2020-04-15,monetary_policy,801180,-,-,True,-0.0020097730594992656,-0.017715
2020-04-20,monetary_policy,801780,+,+,True,0.005859296588448854,0.007995
2020-04-20,monetary_policy,801790,-,+,False,0.005054556121448736,-0.022017
2020-04-20,monetary_policy,801180,-,+,False,0.008044670801164491,-0.007232
2020-04-20,monetary_policy,801710,+,+,True,0.015228830438349505,0.019768
2020-06-12,capital_market_policy,801790,-,-,True,-0.0002794133212067771,-0.006679
2020-06-12,capital_market_policy,801780,-,+,False,0.000838686488632002,-0.032675
2020-06-12,capital_market_policy,801750,-,-,True,-0.0015390018656693872,-0.0005
2020-08-04,industry_policy,801080,-,+,False,0.01055622153820571,-0.036086
2020-08-04,industry_policy,801750,-,+,False,0.006033643773882415,-0.026273
2020-08-04,industry_policy,801770,-,-,True,-0.003233879116165067,-0.023326
2020-08-17,geopolitical,801080,+,+,True,0.007194562866149922,0.001334
2020-08-17,geopolitical,801880,-,+,False,0.012296536775861823,-0.002362
2020-08-17,geopolitical,801110,-,+,False,0.011700613050411783,-0.023078
2020-08-17,geopolitical,801890,+,+,True,0.00924317120400025,0.009132
