event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,1,2020-02-20,0.009175,0.024234,-0.015059
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,1,2020-02-20,0.035928,0.024234,0.011694
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,1,2020-02-20,0.001567,0.024234,-0.022667
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,5,2020-02-20,-0.0039,0.008285,-0.012185
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,5,2020-02-20,0.013485,0.008285,0.0052
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,5,2020-02-20,-0.000247,0.008285,-0.008532
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,20,2020-02-20,-0.113704,-0.114091,0.000387
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,20,2020-02-20,-0.111948,-0.114091,0.002143
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,20,2020-02-20,-0.101179,-0.114091,0.012912
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801780,+,高,1,2020-04-20,-0.007102,-0.008189,0.001086
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801790,+,高,1,2020-04-20,-0.008131,-0.008189,5.8e-05
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801180,+,高,1,2020-04-20,-0.013179,-0.008189,-0.004991
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801710,+,高,1,2020-04-20,0.030326,-0.008189,0.038514
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801780,+,高,5,2020-04-20,0.003641,-0.004354,0.007995
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801790,+,高,5,2020-04-20,-0.026371,-0.004354,-0.022017
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801180,+,高,5,2020-04-20,-0.011587,-0.004354,-0.007232
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801710,+,高,5,2020-04-20,0.015414,-0.004354,0.019768
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801780,+,高,20,2020-04-20,0.015505,0.019354,-0.003849
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801790,+,高,20,2020-04-20,-0.014618,0.019354,-0.033971
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801180,+,高,20,2020-04-20,-0.01352,0.019354,-0.032873
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),801710,+,高,20,2020-04-20,0.02398,0.019354,0.004626
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,+,高,1,2020-09-22,0.006902,-0.008335,0.015236
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,+,高,1,2020-09-22,-0.010676,-0.008335,-0.002341
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,+,高,1,2020-09-22,-0.031604,-0.008335,-0.023269
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,+,高,1,2020-09-22,-0.012012,-0.008335,-0.003678
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,+,高,5,2020-09-22,-0.012016,-0.021236,0.009221
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801160,+,高,5,2020-09-22,-0.043156,-0.021236,-0.02192
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801050,+,高,5,2020-09-22,-0.065283,-0.021236,-0.044047
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801770,+,高,5,2020-09-22,-0.047797,-0.021236,-0.026561
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,801730,+,高,20,2020-09-22,0.065873,0.009772,0.056101
