event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,,,1,2020-01-02,0.019152,0.011811,0.007341
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,,,1,2020-01-02,0.008843,0.011811,-0.002967
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,,,1,2020-01-02,0.002884,0.011811,-0.008926
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,,,5,2020-01-02,0.005886,0.016547,-0.010662
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,,,5,2020-01-02,-0.002579,0.016547,-0.019126
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,,,5,2020-01-02,0.00616,0.016547,-0.010388
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801780,,,20,2020-01-02,-0.087335,-0.048019,-0.039316
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801790,,,20,2020-01-02,-0.090115,-0.048019,-0.042097
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,801180,,,20,2020-01-02,-0.13192,-0.048019,-0.083901
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801780,,,1,2020-02-03,-0.046666,-0.054513,0.007846
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801790,,,1,2020-02-03,-0.074885,-0.054513,-0.020372
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801180,,,1,2020-02-03,-0.086917,-0.054513,-0.032405
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801780,,,5,2020-02-03,-0.048759,-0.021953,-0.026806
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801790,,,5,2020-02-03,-0.049032,-0.021953,-0.027079
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801180,,,5,2020-02-03,-0.048573,-0.021953,-0.02662
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801780,,,20,2020-02-03,-0.042284,0.016425,-0.058709
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801790,,,20,2020-02-03,-0.009085,0.016425,-0.025511
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,801180,,,20,2020-02-03,0.025358,0.016425,0.008932
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801780,,,1,2020-02-17,0.007426,0.017498,-0.010072
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801790,,,1,2020-02-17,0.026638,0.017498,0.00914
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801180,,,1,2020-02-17,-0.001573,0.017498,-0.019071
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801780,,,5,2020-02-17,0.004154,0.036388,-0.032234
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801790,,,5,2020-02-17,0.056504,0.036388,0.020116
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801180,,,5,2020-02-17,-0.010474,0.036388,-0.046862
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801780,,,20,2020-02-17,-0.058162,-0.065173,0.007011
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801790,,,20,2020-02-17,-0.051695,-0.065173,0.013478
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,801180,,,20,2020-02-17,-0.03506,-0.065173,0.030114
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,1,2020-02-20,0.009175,0.024234,-0.015059
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,1,2020-02-20,0.035928,0.024234,0.011694
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,1,2020-02-20,0.001567,0.024234,-0.022667
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,5,2020-02-20,-0.0039,0.008285,-0.012185
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,5,2020-02-20,0.013485,0.008285,0.0052
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,5,2020-02-20,-0.000247,0.008285,-0.008532
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801780,+,高,20,2020-02-20,-0.113704,-0.114091,0.000387
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801790,+,高,20,2020-02-20,-0.111948,-0.114091,0.002143
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),801180,+,高,20,2020-02-20,-0.101179,-0.114091,0.012912
2020-03-13,monetary_policy,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份制银行额外下调1个百分点,801780,,,1,2020-03-13,-0.039157,-0.056461,0.017304
