event_type,industry_code,industry_name,n,P_pos,mean_CAR
capital_market_policy,801790,非银金融,7,0.429,0.0183
capital_market_policy,801780,银行,6,0.5,-0.0081
capital_market_policy,801750,计算机,3,0.667,0.031
capital_market_policy,801080,电子,2,0.5,0.0445
capital_market_policy,801030,化工,1,0.0,-0.0252
capital_market_policy,801180,房地产,1,0.0,-0.0173
capital_market_policy,801710,建筑材料,1,0.0,-0.01
capital_market_policy,801760,传媒,1,0.0,-0.0538
capital_market_policy,801770,通信,1,1.0,0.0354
geopolitical,801080,电子,5,0.4,-0.0058
geopolitical,801030,化工,3,0.0,-0.0135
geopolitical,801880,汽车,3,0.333,-0.0168
geopolitical,801050,有色金属,2,0.5,-0.0136
geopolitical,801730,电气设备,2,0.5,-0.0119
geopolitical,801770,通信,2,0.5,0.0327
geopolitical,801010,农林牧渔,1,1.0,0.0675
geopolitical,801040,钢铁,1,1.0,0.0039
geopolitical,801110,家用电器,1,0.0,-0.0346
geopolitical,801750,计算机,1,1.0,0.0036
geopolitical,801890,机械设备,1,0.0,-0.0541
industry_policy,801180,房地产,7,0.286,-0.0205
industry_policy,801780,银行,7,0.571,0.006
industry_policy,801710,建筑材料,5,0.4,-0.0144
industry_policy,801790,非银金融,4,0.5,-0.0057
industry_policy,801760,传媒,2,0.5,0.043
industry_policy,801770,通信,2,0.0,-0.0145
industry_policy,801880,汽车,2,0.5,0.0152
industry_policy,801030,化工,1,1.0,0.022
industry_policy,801040,钢铁,1,1.0,0.0171
industry_policy,801050,有色金属,1,0.0,-0.044
industry_policy,801080,电子,1,1.0,0.0218
industry_policy,801160,公用事业,1,0.0,-0.0219
industry_policy,801730,电气设备,1,1.0,0.0092
industry_policy,801750,计算机,1,1.0,0.1368
industry_policy,801890,机械设备,1,1.0,0.0201
market_event,801080,电子,3,0.333,0.002
market_event,801750,计算机,3,0.333,-0.0102
market_event,801790,非银金融,3,0.0,-0.014
market_event,801730,电气设备,1,0.0,-0.0471
market_event,801770,通信,1,0.0,-0.0295
market_event,801780,银行,1,0.0,-0.0341
market_event,801880,汽车,1,0.0,-0.0117
monetary_policy,801780,银行,20,0.65,-0.0001
monetary_policy,801180,房地产,19,0.368,-0.0003
monetary_policy,801790,非银金融,19,0.737,0.0139
monetary_policy,801710,建筑材料,13,0.538,0.0023
monetary_policy,801750,计算机,2,1.0,0.0907
