date,industry_code,pe_ttm,pb,dividend_yield
2020-01-02,801890,27.38,2.11,0.92
2020-01-02,801010,32.83,3.64,1.18
2020-01-02,801030,21.97,1.92,1.58
2020-01-02,801040,9.85,0.94,4.15
2020-01-02,801050,38.88,2.13,0.65
2020-01-02,801080,44.32,3.54,0.55
2020-01-02,801110,17.59,3.45,2.22
2020-01-02,801120,32.11,6.52,1.29
2020-01-02,801150,36.53,3.43,0.69
2020-01-02,801160,19.22,1.43,1.83
2020-01-02,801170,17.66,1.47,1.61
2020-01-02,801880,19.88,1.63,1.9
2020-01-02,801790,16.02,1.93,1.43
2020-01-02,801780,7.13,0.82,3.23
2020-01-02,801770,38.46,2.74,0.45
2020-01-02,801760,43.48,2.49,0.68
2020-01-02,801750,59.72,3.95,0.34
2020-01-02,801180,10.0,1.45,2.68
2020-01-02,801730,33.01,2.23,0.74
2020-01-02,801710,13.27,1.96,2.05
2020-01-03,801150,36.45,3.43,0.69
2020-01-03,801120,31.48,6.4,1.31
2020-01-03,801110,17.32,3.4,2.25
2020-01-03,801040,9.82,0.93,4.17
2020-01-03,801050,39.88,2.17,0.63
2020-01-03,801030,22.09,1.93,1.57
2020-01-03,801010,33.13,3.68,1.17
2020-01-03,801160,19.27,1.44,1.83
2020-01-03,801080,44.54,3.56,0.54
2020-01-03,801170,17.59,1.46,1.61
2020-01-03,801180,9.93,1.44,2.69
2020-01-03,801890,27.39,2.11,0.92
2020-01-03,801880,19.93,1.64,1.89
2020-01-03,801790,16.03,1.94,1.43
2020-01-03,801780,7.16,0.83,3.21
2020-01-03,801760,44.07,2.53,0.67
2020-01-03,801750,60.08,3.97,0.34
2020-01-03,801770,38.91,2.77,0.44
2020-01-03,801730,33.2,2.24,0.74
2020-01-03,801710,13.14,1.94,2.07
2020-01-06,801160,19.25,1.44,1.83
2020-01-06,801150,36.26,3.41,0.69
2020-01-06,801120,31.25,6.35,1.32
2020-01-06,801170,17.43,1.45,1.63
2020-01-06,801080,45.12,3.6,0.54
2020-01-06,801050,41.19,2.24,0.61
2020-01-06,801040,9.78,0.93,4.18
2020-01-06,801030,22.2,1.94,1.56
2020-01-06,801010,33.81,3.75,1.14
2020-01-06,801110,17.11,3.36,2.28
2020-01-06,801180,9.85,1.42,2.72
2020-01-06,801880,19.93,1.64,1.89
2020-01-06,801790,15.96,1.93,1.44
2020-01-06,801780,7.11,0.82,3.24
2020-01-06,801770,39.1,2.78,0.44
2020-01-06,801760,44.59,2.56,0.66
2020-01-06,801890,27.43,2.12,0.92
2020-01-06,801730,33.59,2.27,0.73
2020-01-06,801710,13.1,1.93,2.08
2020-01-06,801750,60.73,4.02,0.33
2020-01-07,801160,19.44,1.45,1.81
2020-01-07,801150,36.84,3.46,0.68
2020-01-07,801120,31.7,6.45,1.3
2020-01-07,801050,40.93,2.22,0.61
2020-01-07,801080,45.12,3.61,0.54
2020-01-07,801040,9.98,0.95,4.1
2020-01-07,801030,22.29,1.95,1.55
2020-01-07,801010,35.08,3.89,1.1
2020-01-07,801170,17.55,1.46,1.62
2020-01-07,801110,17.38,3.41,2.24
2020-01-07,801180,9.94,1.44,2.69
2020-01-07,801880,20.21,1.66,1.86
2020-01-07,801790,16.08,1.95,1.43
2020-01-07,801780,7.15,0.83,3.22
2020-01-07,801770,39.45,2.8,0.43
2020-01-07,801760,46.0,2.64,0.64
2020-01-07,801890,27.66,2.13,0.91
2020-01-07,801730,33.96,2.29,0.72
2020-01-07,801710,13.18,1.94,2.06
2020-01-07,801750,62.02,4.1,0.33
2020-01-08,801150,36.4,3.42,0.69
2020-01-08,801120,31.58,6.42,1.31
2020-01-08,801110,17.53,3.44,2.22
