date,industry_code,industry_name,pe_ttm,pb,dividend_yield
2019-01-02,801010,农林牧渔,25.96,2.45,1.26
2019-01-03,801010,农林牧渔,25.93,2.45,1.26
2019-01-04,801010,农林牧渔,26.64,2.52,1.22
2019-01-07,801010,农林牧渔,27.26,2.58,1.23
2019-01-08,801010,农林牧渔,27.06,2.56,1.24
2019-01-09,801010,农林牧渔,27.03,2.56,1.24
2019-01-10,801010,农林牧渔,27.04,2.56,1.24
2019-01-11,801010,农林牧渔,27.16,2.57,1.23
2019-01-14,801010,农林牧渔,27.17,2.58,1.23
2019-01-15,801010,农林牧渔,27.21,2.58,1.23
2019-01-16,801010,农林牧渔,27.19,2.58,1.23
2019-01-17,801010,农林牧渔,27.05,2.56,1.24
2019-01-18,801010,农林牧渔,27.55,2.61,1.22
2019-01-21,801010,农林牧渔,27.45,2.6,1.22
2019-01-22,801010,农林牧渔,27.17,2.57,1.23
2019-01-23,801010,农林牧渔,27.42,2.6,1.21
2019-01-24,801010,农林牧渔,27.75,2.63,1.2
2019-01-25,801010,农林牧渔,27.54,2.61,1.21
2019-01-28,801010,农林牧渔,27.64,2.62,1.2
2019-01-29,801010,农林牧渔,27.48,2.6,1.21
2019-01-30,801010,农林牧渔,27.23,2.58,1.22
2019-01-31,801010,农林牧渔,27.01,2.56,
2019-02-01,801010,农林牧渔,27.5,2.6,1.21
2019-02-11,801010,农林牧渔,28.92,2.74,1.15
2019-02-12,801010,农林牧渔,29.29,2.77,1.14
2019-02-13,801010,农林牧渔,29.54,2.78,1.13
2019-02-14,801010,农林牧渔,29.58,2.78,1.13
2019-02-15,801010,农林牧渔,30.41,2.86,1.09
2019-02-18,801010,农林牧渔,31.48,2.96,1.06
2019-02-19,801010,农林牧渔,31.41,2.95,1.05
2019-02-20,801010,农林牧渔,31.74,3.02,1.03
2019-02-21,801010,农林牧渔,32.17,3.06,1.02
2019-02-22,801010,农林牧渔,32.58,3.09,1.01
2019-02-25,801010,农林牧渔,33.2,3.14,0.99
2019-02-26,801010,农林牧渔,34.13,3.23,0.96
2019-02-27,801010,农林牧渔,32.84,3.13,0.99
2019-02-28,801010,农林牧渔,32.46,3.1,1.0
2019-03-01,801010,农林牧渔,33.3,3.18,0.98
2019-03-04,801010,农林牧渔,35.1,3.35,0.93
2019-03-05,801010,农林牧渔,36.38,3.47,0.9
2019-03-06,801010,农林牧渔,36.87,3.52,0.88
2019-03-07,801010,农林牧渔,36.95,3.53,0.88
2019-03-08,801010,农林牧渔,37.25,3.56,0.88
2019-03-11,801010,农林牧渔,38.64,3.69,0.84
2019-03-12,801010,农林牧渔,40.9,3.9,0.8
2019-03-13,801010,农林牧渔,38.42,3.67,0.85
2019-03-14,801010,农林牧渔,36.53,3.45,0.9
2019-03-15,801010,农林牧渔,37.36,3.53,0.88
2019-03-18,801010,农林牧渔,38.68,3.66,0.85
2019-03-19,801010,农林牧渔,38.81,3.67,0.85
2019-03-20,801010,农林牧渔,37.84,3.58,0.87
2019-03-21,801010,农林牧渔,38.19,3.61,0.86
2019-03-22,801010,农林牧渔,37.64,3.56,0.87
2019-03-25,801010,农林牧渔,37.37,3.54,0.88
2019-03-26,801010,农林牧渔,37.23,3.52,0.88
2019-03-27,801010,农林牧渔,36.93,3.5,0.89
2019-03-28,801010,农林牧渔,36.77,3.49,0.89
