date,sse_fin,szse_fin,total_fin
2019-06-03,554095723600,359071041023.0,913166764623.0
2019-06-04,551845445249,357685869570.0,909531314819.0
2019-06-05,550165203687,357174114748.0,907339318435.0
2019-06-06,546661467639,355134652791.0,901796120430.0
2019-06-10,545807399551,355476355525.0,901283755076.0
2019-06-11,546076092112,356901104639.0,902977196751.0
2019-06-12,547092700496,357662441819.0,904755142315.0
2019-06-13,547506113249,358911878075.0,906417991324.0
2019-06-14,545365849561,356505090576.0,901870940137.0
2019-06-17,544906059569,357002158161.0,901908217730.0
2019-06-18,543689979601,356916629780.0,900606609381.0
2019-06-19,543194212320,356586292104.0,899780504424.0
2019-06-20,545474733422,356545954196.0,902020687618.0
2019-06-21,544809211659,356292984699.0,901102196358.0
2019-06-24,546922849389,358195149278.0,905117998667.0
2019-06-25,548267174410,358402751925.0,906669926335.0
2019-06-26,547799690532,358443080126.0,906242770658.0
2019-06-27,547617686319,358937809305.0,906555495624.0
2019-06-28,545403611820,356559063573.0,901962675393.0
2019-07-01,548115136533,358795387054.0,906910523587.0
2019-07-02,549329550799,359013686566.0,908343237365.0
2019-07-03,550488925077,360718702346.0,911207627423.0
2019-07-04,550607512075,360726831339.0,911334343414.0
2019-07-05,549758208389,359527623893.0,909285832282.0
2019-07-08,549280291963,359225996451.0,908506288414.0
2019-07-09,548742383856,358747995718.0,907490379574.0
2019-07-10,548502478946,358316393429.0,906818872375.0
2019-07-11,546736009397,357830126396.0,904566135793.0
2019-07-12,545292920109,357033297572.0,902326217681.0
2019-07-15,546829583252,357853337644.0,904682920896.0
2019-07-16,546419207751,357990795306.0,904410003057.0
2019-07-17,546770795139,358585803290.0,905356598429.0
2019-07-18,545891094423,357663051878.0,903554146301.0
2019-07-19,544117046863,357256049991.0,901373096854.0
2019-07-22,542317389721,355946907182.0,898264296903.0
2019-07-23,540885652598,355857346597.0,896742999195.0
2019-07-24,540838721429,356619060908.0,897457782337.0
2019-07-25,540617344435,357311612714.0,897928957149.0
2019-07-26,539752245878,356267460520.0,896019706398.0
2019-07-29,541103076216,357358658391.0,898461734607.0
2019-07-30,541192071940,356771810015.0,897963881955.0
2019-07-31,540746046599,356737867568.0,897483914167.0
2019-08-01,540682032669,357387050400.0,898069083069.0
2019-08-02,538926998030,355699879798.0,894626877828.0
2019-08-05,539088661040,355936327645.0,895024988685.0
2019-08-06,536449029000,353814360650.0,890263389650.0
2019-08-07,534335401053,352197279477.0,886532680530.0
2019-08-08,533481575844,351167279642.0,884648855486.0
2019-08-09,531240738575,349588256931.0,880828995506.0
2019-08-12,531567416332,350232526230.0,881799942562.0
2019-08-13,531855170860,350425952718.0,882281123578.0
2019-08-14,532093964720,351066785715.0,883160750435.0
2019-08-15,531287578318,350968614745.0,882256193063.0
2019-08-16,530938203843,351303432525.0,882241636368.0
2019-08-19,534798962347,358247751126.0,893046713473.0
2019-08-20,535069125138,362462964777.0,897532089915.0
2019-08-21,535653416579,364959969283.0,900613385862.0
2019-08-22,536149988643,367813387949.0,903963376592.0
2019-08-23,534954183704,368085031657.0,903039215361.0
2019-08-26,536544973668,370479574514.0,907024548182.0
2019-08-27,536284871635,372494892897.0,908779764532.0
2019-08-28,537103608725,374388810778.0,911492419503.0
2019-08-29,538787831176,375786880769.0,914574711945.0
2019-08-30,538541616594,374936628224.0,913478244818.0
2019-09-02,540259932065,377908602471.0,918168534536.0
2019-09-03,540321825192,380570505326.0,920892330518.0
2019-09-04,540978840534,383273405173.0,924252245707.0
2019-09-05,542059512654,388828064471.0,930887577125.0
2019-09-06,541315600123,390461445139.0,931777045262.0
2019-09-09,545831543383,396948751726.0,942780295109.0
2019-09-10,547266110610,400771177254.0,948037287864.0
2019-09-11,548131519774,402886439495.0,951017959269.0
2019-09-12,545974771941,400881904352.0,946856676293.0
2019-09-16,549029500599,405643241552.0,954672742151.0
2019-09-17,550022693898,406223171693.0,956245865591.0
2019-09-18,550256286908,407184772957.0,957441059865.0
2019-09-19,551374200309,408847406584.0,960221606893.0
2019-09-20,550048535904,407681840327.0,957730376231.0
2019-09-23,550826508305,409639846913.0,960466355218.0
2019-09-24,550171649766,410274224508.0,960445874274.0
2019-09-25,548262512825,409003683267.0,957266196092.0
2019-09-26,545878128202,406277754948.0,952155883150.0
2019-09-27,543547417610,403859761930.0,947407179540.0
2019-09-30,538791089316,398487589825.0,937278679141.0
2019-10-08,541173606913,401456699550.0,942630306463.0
2019-10-09,541990984143,402171463288.0,944162447431.0
2019-10-10,542411429535,404382398945.0,946793828480.0
2019-10-11,541053440557,403376831930.0,944430272487.0
2019-10-14,544165541216,406587714483.0,950753255699.0
2019-10-15,543677569235,405753881912.0,949431451147.0
2019-10-16,543790595150,406467490313.0,950258085463.0
2019-10-17,543067159580,407282704170.0,950349863750.0
2019-10-18,541397950787,405739597749.0,947137548536.0
2019-10-21,541719877028,405719191340.0,947439068368.0
2019-10-22,542455008256,406094556370.0,948549564626.0
2019-10-23,542590711121,406643011432.0,949233722553.0
2019-10-24,543586678053,406951152943.0,950537830996.0
2019-10-25,543351773604,407449968800.0,950801742404.0
2019-10-28,545352851087,410863642460.0,956216493547.0
2019-10-29,544786863040,410725191166.0,955512054206.0
2019-10-30,544449761544,410950506501.0,955400268045.0
2019-10-31,543040299737,410207768519.0,953248068256.0
2019-11-01,542675980074,410524564516.0,953200544590.0
2019-11-04,543020295419,412108509099.0,955128804518.0
2019-11-05,544029029680,412677807001.0,956706836681.0
2019-11-06,543999526706,412842411930.0,956841938636.0
2019-11-07,544188094794,413897357151.0,958085451945.0
2019-11-08,543255280042,412950627056.0,956205907098.0
2019-11-11,541755441181,412781118287.0,954536559468.0
2019-11-12,541360163467,412591879167.0,953952042634.0
2019-11-13,542048023809,412948152696.0,954996176505.0
2019-11-14,542725646617,414203569085.0,956929215702.0
2019-11-15,541112917831,412414846741.0,953527764572.0
2019-11-18,541533326643,413096715916.0,954630042559.0
2019-11-19,542721380946,415096926919.0,957818307865.0
2019-11-20,543039825777,415446588621.0,958486414398.0
2019-11-21,544024320788,415210737209.0,959235057997.0
2019-11-22,542558701610,412875109050.0,955433810660.0
2019-11-25,542994841271,412104777216.0,955099618487.0
2019-11-26,541048628299,410931748373.0,951980376672.0
2019-11-27,541540132118,412230710350.0,953770842468.0
2019-11-28,540557833985,411937360700.0,952495194685.0
2019-11-29,540589918492,411407975807.0,951997894299.0
2019-12-02,540793588479,412574912988.0,953368501467.0
2019-12-03,541820549640,413765616078.0,955586165718.0
2019-12-04,542474281717,413920492779.0,956394774496.0
2019-12-05,542948225200,415895903818.0,958844129018.0
2019-12-06,542900227729,416205988264.0,959106215993.0
2019-12-09,543860276636,418819330256.0,962679606892.0
2019-12-10,544324601840,420631739120.0,964956340960.0
2019-12-11,544826951629,421916690559.0,966743642188.0
2019-12-12,544762356034,423457288662.0,968219644696.0
2019-12-13,544431163367,423422868505.0,967854031872.0
2019-12-16,548288053609,428851154451.0,977139208060.0
2019-12-17,551516610507,433966722200.0,985483332707.0
2019-12-18,554466188124,438511398249.0,992977586373.0
2019-12-19,556309366942,440571799372.0,996881166314.0
2019-12-20,555035446253,439595152383.0,994630598636.0
2019-12-23,556003821374,440697737336.0,996701558710.0
2019-12-24,554400951209,442190815204.0,996591766413.0
2019-12-25,555015167639,443311618799.0,998326786438.0
2019-12-26,555995394376,445284559052.0,1001279953428.0
2019-12-27,555111529883,444624972938.0,999736502821.0
2019-12-30,558917674707,446558443201.0,1005476117908.0
2019-12-31,559055426838,446449044436.0,1005504471274.0
2020-01-02,561396722311,449269066938.0,1010665789249.0
2020-01-03,562710881010,449511452527.0,1012222333537.0
2020-01-06,567760802437,454972078011.0,1022732880448.0
2020-01-07,568793261762,458305921627.0,1027099183389.0
2020-01-08,570740658657,459428001826.0,1030168660483.0
2020-01-09,571819012961,461464019174.0,1033283032135.0
2020-01-10,570739934602,461320615077.0,1032060549679.0
2020-01-13,573021434835,464649372976.0,1037670807811.0
2020-01-14,574945207770,465294877392.0,1040240085162.0
2020-01-15,575929132790,467166892513.0,1043096025303.0
2020-01-16,576558354303,467369711068.0,1043928065371.0
2020-01-17,575491812969,465660483299.0,1041152296268.0
2020-01-20,576303022728,468733216157.0,1045036238885.0
2020-01-21,576301105902,468137678163.0,1044438784065.0
2020-01-22,576330861708,467952487538.0,1044283349246.0
